App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<Së¢íåê›åvâûóÕ>
íåïÑçÜ,äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,Åyíåì™ÅzMx[kNm],Åyíåì™ÅzMy[kNm],ÅyíåãrÅzMx[kNm],ÅyíåãrÅzMy[kNm],Qx[kN],Qy[kN],N[kN]
C1X,2F,A,5,EXL,-136.3,-0.0,117.1,0.0,99.2,0.0,-8.0,
C1X,2F,A,6,EXL,-134.6,-0.0,116.9,0.0,98.5,0.0,20.2,
C2X,2F,A,7,EXL,-64.5,-0.0,52.9,0.0,45.9,0.0,218.3,
C2X,3F,A,2,EXL,-94.9,0.0,74.7,-0.0,66.4,-0.0,-168.9,
C1X,3F,A,3,EXL,-234.2,0.0,182.8,-0.0,163.3,-0.0,-20.2,
C1X,3F,A,4,EXL,-237.2,-0.0,184.6,0.0,165.1,0.0,-4.7,
C1X,3F,A,5,EXL,-237.0,-0.0,184.5,0.0,165.0,0.0,-6.9,
C1X,3F,A,6,EXL,-234.0,0.0,182.7,0.0,163.2,0.0,16.9,
C2X,3F,A,7,EXL,-94.9,-0.0,74.7,0.0,66.4,0.0,168.9,
C2X,4F,A,2,EXL,-55.4,0.0,51.0,-0.0,41.7,-0.0,-120.1,
C1X,4F,A,3,EXL,-88.4,-0.0,109.1,-0.0,77.3,0.0,-15.5,
C1X,4F,A,4,EXL,-91.0,-0.0,111.4,0.0,79.3,0.0,-3.4,
C1X,4F,A,5,EXL,-90.8,-0.0,111.3,0.0,79.1,0.0,-5.5,
C1X,4F,A,6,EXL,-88.1,0.0,108.9,-0.0,77.1,-0.0,12.9,
C2X,4F,A,7,EXL,-55.4,-0.0,51.0,0.0,41.6,0.0,120.1,
C2X,5F,A,2,EXL,-168.0,0.0,123.5,-0.0,114.1,-0.0,-53.7,
C1X,5F,A,3,EXL,-425.4,0.0,314.6,-0.0,289.8,-0.0,-9.3,
C1X,5F,A,4,EXL,-435.1,-0.0,317.8,0.0,294.8,0.0,-1.7,
C1X,5F,A,5,EXL,-434.8,-0.0,317.7,0.0,294.6,0.0,-3.8,
C1X,5F,A,6,EXL,-425.1,-0.0,314.4,-0.0,289.5,0.0,7.6,
C2X,5F,A,7,EXL,-167.9,-0.0,123.4,0.0,114.1,0.0,53.6,
C2Y,1F,B,1,EXL,-8.3,0.0,29.8,0.0,14.1,-0.0,-0.1,
C5,1F,B,2,EXL,-9.6,0.0,34.8,-0.0,16.5,-0.0,0.1,
C5,1F,B,7,EXL,-9.6,-0.0,34.8,0.0,16.5,0.0,-0.1,
C2Y,1F,B,8,EXL,-8.3,-0.0,29.8,0.0,14.1,0.0,0.1,
C2Y,2F,B,1,EXL,6.8,0.0,-6.1,-0.0,-4.8,-0.0,-0.0,
C5,2F,B,2,EXL,8.0,0.0,-7.0,-0.0,-5.6,-0.0,0.0,
C5,2F,B,7,EXL,8.0,-0.0,-7.0,0.0,-5.6,0.0,-0.0,
C2Y,2F,B,8,EXL,6.8,-0.0,-6.1,0.0,-4.8,0.0,0.0,
C2Y,3F,B,1,EXL,-6.9,0.0,4.9,-0.0,4.4,-0.0,-0.0,
C5,3F,B,2,EXL,-8.0,0.0,5.7,-0.0,5.1,-0.0,0.0,
C5,3F,B,7,EXL,-8.0,-0.0,5.7,0.0,5.1,0.0,-0.0,
C2Y,3F,B,8,EXL,-6.9,-0.0,4.9,0.0,4.4,0.0,0.0,
C2Y,4F,B,1,EXL,11.4,0.0,-4.2,-0.0,-5.8,-0.0,-0.0,
C5,4F,B,2,EXL,13.4,0.0,-4.9,-0.0,-6.8,-0.0,0.0,
C5,4F,B,7,EXL,13.4,-0.0,-4.9,0.0,-6.8,0.0,-0.0,
C2Y,4F,B,8,EXL,11.4,-0.0,-4.2,0.0,-5.8,0.0,0.0,
C2Y,5F,B,1,EXL,-0.0,0.0,9.8,-0.0,3.7,-0.0,-0.0,
C5,5F,B,2,EXL,-0.0,0.0,11.5,-0.0,4.3,-0.0,0.0,
C5,5F,B,7,EXL,-0.0,-0.0,11.5,0.0,4.3,0.0,-0.0,
C2Y,5F,B,8,EXL,-0.0,-0.0,9.8,0.0,3.7,0.0,0.0,
C3Y,1F,C,1,EXL,2.7,0.0,0.0,0.0,-0.8,-0.0,-0.0,
C3Y,1F,C,3,EXL,-10.9,-8.5,50.5,2.4,23.9,4.3,-157.6,
C1Y,1F,C,4,EXL,-7.8,17.1,29.8,-5.4,14.2,-8.8,160.2,
C1Y,1F,C,5,EXL,-7.8,19.3,29.8,-6.1,14.2,-9.9,190.3,
C3Y,1F,C,6,EXL,-10.9,23.4,50.5,-6.7,23.9,-11.8,545.1,
C3Y,1F,C,8,EXL,2.7,-0.0,0.0,-0.0,-0.8,0.0,0.0,
C3Y,2F,C,1,EXL,7.1,0.0,3.5,-0.0,-1.4,-0.0,-0.0,
C3Y,2F,C,3,EXL,10.6,-19.1,-10.2,9.6,-8.1,11.2,-150.2,
C1Y,2F,C,4,EXL,6.6,36.2,-6.1,-19.3,-4.8,-21.7,145.0,
C1Y,2F,C,5,EXL,6.6,40.7,-6.1,-21.8,-4.8,-24.5,173.2,
C3Y,2F,C,6,EXL,10.6,50.9,-10.2,-26.2,-8.1,-30.2,525.3,
C3Y,2F,C,8,EXL,7.1,-0.0,3.5,0.0,-1.4,0.0,0.0,
C3Y,3F,C,1,EXL,-9.9,-0.0,4.7,0.0,5.7,0.0,-0.0,
C3Y,3F,C,3,EXL,-10.8,-15.6,8.3,16.0,7.4,12.4,-26.3,
C1Y,3F,C,4,EXL,-6.7,49.3,4.9,-33.6,4.4,-32.4,117.1,
C1Y,3F,C,5,EXL,-6.7,57.7,4.9,-38.2,4.4,-37.5,141.6,
C3Y,3F,C,6,EXL,-10.8,54.5,8.3,-44.5,7.4,-38.8,489.2,
C3Y,3F,C,8,EXL,-9.9,-0.0,4.7,-0.0,5.7,-0.0,0.0,
C3Y,4F,C,1,EXL,18.2,-0.0,-6.2,-0.0,-9.5,-0.0,-0.0,
C3Y,4F,C,3,EXL,18.4,-13.1,-7.2,10.6,-10.0,9.3,-16.6,
C1Y,4F,C,4,EXL,11.2,59.4,-4.2,-41.9,-5.8,-39.7,81.0,
C1Y,4F,C,5,EXL,11.2,72.2,-4.2,-50.0,-5.8,-47.9,98.8,
C3Y,4F,C,6,EXL,18.4,64.3,-7.2,-43.6,-10.0,-42.2,452.8,
C3Y,4F,C,8,EXL,18.2,-0.0,-6.2,0.0,-9.5,0.0,0.0,
C3Y,5F,C,1,EXL,0.7,-0.0,16.6,-0.0,6.2,0.0,-0.0,
C3Y,5F,C,3,EXL,0.7,-18.8,16.9,11.0,6.3,11.7,-7.4,
C1Y,5F,C,4,EXL,0.1,86.7,9.8,-52.8,3.7,-54.6,36.1,
C1Y,5F,C,5,EXL,0.1,105.8,9.8,-64.6,3.7,-66.7,44.1,
C3Y,5F,C,6,EXL,0.7,96.8,16.9,-57.6,6.3,-60.4,36.9,
C3Y,5F,C,8,EXL,0.7,-0.0,16.6,0.0,6.2,0.0,0.0,
C5,1F,D,3,EXL,1.8,-0.0,0.0,0.0,-0.5,0.0,-605.2,
C5,1F,D,4,EXL,1.9,0.0,0.0,0.0,-0.5,0.0,1177.4,
C5,1F,D,5,EXL,1.9,0.0,0.0,-0.0,-0.5,-0.0,1332.6,
C5,1F,D,6,EXL,1.8,0.0,0.0,-0.0,-0.5,-0.0,1713.2,
C5,2F,D,3,EXL,4.8,0.0,2.4,-0.0,-1.0,-0.0,-623.3,
C5,2F,D,4,EXL,4.9,-0.0,2.4,-0.0,-1.0,0.0,1208.7,
C5,2F,D,5,EXL,4.9,-0.0,2.4,0.0,-1.0,0.0,1376.4,
C5,2F,D,6,EXL,4.8,-0.0,2.4,0.0,-1.0,0.0,1756.7,
C5,3F,D,3,EXL,-6.7,-0.0,3.2,0.0,3.9,0.0,302.7,
C5,3F,D,4,EXL,-7.1,0.0,3.2,-0.0,3.9,-0.0,735.3,
C5,3F,D,5,EXL,-7.1,0.0,3.2,-0.0,3.9,-0.0,998.5,
C5,3F,D,6,EXL,-6.8,0.0,3.2,-0.0,3.9,-0.0,281.9,
C5,4F,D,3,EXL,12.4,-0.0,-4.2,-0.0,-6.5,0.0,31.8,
C5,4F,D,4,EXL,13.0,-0.0,-4.2,0.0,-6.5,0.0,736.2,
C5,4F,D,5,EXL,13.0,-0.0,-4.2,0.0,-6.5,0.0,1005.9,
C5,4F,D,6,EXL,12.4,0.0,-4.2,0.0,-6.5,0.0,1055.7,
C5,5F,D,3,EXL,0.5,-0.0,11.3,-0.0,4.2,-0.0,13.9,
C5,5F,D,4,EXL,0.1,-0.0,11.3,-0.0,4.2,-0.0,-67.1,
C5,5F,D,5,EXL,0.1,-0.0,11.3,-0.0,4.2,-0.0,-82.0,
C5,5F,D,6,EXL,0.4,0.0,11.4,0.0,4.2,0.0,-69.7,
C3Y,1F,E,1,EXL,2.7,-0.0,0.0,0.0,-0.8,0.0,-0.0,
C3Y,1F,E,3,EXL,-10.9,8.5,50.5,-2.4,23.9,-4.3,-157.6,
C1Y,1F,E,4,EXL,-7.8,-17.1,29.8,5.4,14.2,8.8,160.2,
C1Y,1F,E,5,EXL,-7.8,-19.3,29.8,6.1,14.2,9.9,190.3,
C3Y,1F,E,6,EXL,-10.9,-23.4,50.5,6.7,23.9,11.8,545.1,
C3Y,1F,E,8,EXL,2.7,0.0,0.0,-0.0,-0.8,-0.0,0.0,
C3Y,2F,E,1,EXL,7.1,-0.0,3.5,0.0,-1.4,0.0,-0.0,
C3Y,2F,E,3,EXL,10.6,19.1,-10.2,-9.6,-8.1,-11.2,-150.2,
C1Y,2F,E,4,EXL,6.6,-36.2,-6.1,19.3,-4.8,21.7,145.0,
C1Y,2F,E,5,EXL,6.6,-40.7,-6.1,21.8,-4.8,24.5,173.2,
C3Y,2F,E,6,EXL,10.6,-50.9,-10.2,26.2,-8.1,30.2,525.3,
C3Y,2F,E,8,EXL,7.1,0.0,3.5,-0.0,-1.4,-0.0,0.0,
C3Y,3F,E,1,EXL,-9.9,-0.0,4.7,0.0,5.7,0.0,-0.0,
C3Y,3F,E,3,EXL,-10.8,15.6,8.3,-16.0,7.4,-12.4,-26.3,
C1Y,3F,E,4,EXL,-6.7,-49.3,4.9,33.6,4.4,32.4,117.1,
C1Y,3F,E,5,EXL,-6.7,-57.7,4.9,38.2,4.4,37.5,141.6,
C3Y,3F,E,6,EXL,-10.8,-54.5,8.3,44.5,7.4,38.8,489.2,
C3Y,3F,E,8,EXL,-9.9,0.0,4.7,-0.0,5.7,-0.0,0.0,
C3Y,4F,E,1,EXL,18.2,-0.0,-6.2,0.0,-9.5,0.0,-0.0,
C3Y,4F,E,3,EXL,18.4,13.1,-7.2,-10.6,-10.0,-9.3,-16.6,
C1Y,4F,E,4,EXL,11.2,-59.4,-4.2,41.9,-5.8,39.7,81.0,
C1Y,4F,E,5,EXL,11.2,-72.2,-4.2,50.0,-5.8,47.9,98.8,
C3Y,4F,E,6,EXL,18.4,-64.3,-7.2,43.6,-10.0,42.2,452.8,
C3Y,4F,E,8,EXL,18.2,0.0,-6.2,-0.0,-9.5,-0.0,0.0,
C3Y,5F,E,1,EXL,0.7,0.0,16.6,-0.0,6.2,-0.0,-0.0,
C3Y,5F,E,3,EXL,0.7,18.8,16.9,-11.0,6.3,-11.7,-7.4,
C1Y,5F,E,4,EXL,0.1,-86.7,9.8,52.8,3.7,54.6,36.1,
C1Y,5F,E,5,EXL,0.1,-105.8,9.8,64.6,3.7,66.7,44.1,
C3Y,5F,E,6,EXL,0.7,-96.8,16.9,57.6,6.3,60.4,36.9,
C3Y,5F,E,8,EXL,0.7,0.0,16.6,-0.0,6.2,-0.0,0.0,
C2Y,1F,F,1,EXL,-8.3,-0.0,29.8,0.0,14.1,0.0,-0.1,
C5,1F,F,2,EXL,-9.6,-0.0,34.8,0.0,16.5,0.0,0.1,
C5,1F,F,7,EXL,-9.6,0.0,34.8,-0.0,16.5,-0.0,-0.1,
C2Y,1F,F,8,EXL,-8.3,0.0,29.8,-0.0,14.1,-0.0,0.1,
C2Y,2F,F,1,EXL,6.8,-0.0,-6.1,0.0,-4.8,0.0,-0.0,
C5,2F,F,2,EXL,8.0,-0.0,-7.0,0.0,-5.6,0.0,0.0,
C5,2F,F,7,EXL,8.0,0.0,-7.0,-0.0,-5.6,-0.0,-0.0,
C2Y,2F,F,8,EXL,6.8,0.0,-6.1,-0.0,-4.8,-0.0,0.0,
C2Y,3F,F,1,EXL,-6.9,-0.0,4.9,0.0,4.4,0.0,-0.0,
C5,3F,F,2,EXL,-8.0,-0.0,5.7,0.0,5.1,0.0,0.0,
C5,3F,F,7,EXL,-8.0,0.0,5.7,-0.0,5.1,-0.0,-0.0,
C2Y,3F,F,8,EXL,-6.9,0.0,4.9,-0.0,4.4,-0.0,0.0,
C2Y,4F,F,1,EXL,11.4,-0.0,-4.2,0.0,-5.8,0.0,-0.0,
C5,4F,F,2,EXL,13.4,-0.0,-4.9,0.0,-6.8,0.0,0.0,
C5,4F,F,7,EXL,13.4,0.0,-4.9,-0.0,-6.8,-0.0,-0.0,
C2Y,4F,F,8,EXL,11.4,0.0,-4.2,-0.0,-5.8,-0.0,0.0,
C2Y,5F,F,1,EXL,-0.0,-0.0,9.8,0.0,3.7,0.0,-0.0,
C5,5F,F,2,EXL,-0.0,-0.0,11.5,0.0,4.3,0.0,0.0,
C5,5F,F,7,EXL,-0.0,0.0,11.5,-0.0,4.3,-0.0,-0.0,
C2Y,5F,F,8,EXL,-0.0,0.0,9.8,-0.0,3.7,-0.0,0.0,
C2X,1F,G,2,EXL,-85.0,-0.0,121.7,0.0,81.0,0.0,-266.3,
C1X,1F,G,3,EXL,-196.3,-0.0,351.8,0.0,214.6,0.0,-27.3,
C1X,1F,G,4,EXL,-197.1,0.0,353.8,-0.0,215.7,-0.0,-6.5,
C1X,1F,G,5,EXL,-197.0,0.0,353.8,-0.0,215.7,-0.0,-8.5,
C1X,1F,G,6,EXL,-196.2,0.0,351.8,0.0,214.6,-0.0,22.9,
C2X,1F,G,7,EXL,-85.0,0.0,121.7,-0.0,80.9,-0.0,266.2,
C2X,2F,G,2,EXL,-64.5,-0.0,52.9,0.0,46.0,0.0,-218.4,
C1X,2F,G,3,EXL,-134.8,-0.0,117.0,0.0,98.6,0.0,-24.2,
C1X,2F,G,4,EXL,-136.4,0.0,117.2,-0.0,99.3,-0.0,-5.8,
C1X,2F,G,5,EXL,-136.3,0.0,117.1,-0.0,99.2,-0.0,-8.0,
C1X,2F,G,6,EXL,-134.6,0.0,116.9,-0.0,98.5,-0.0,20.2,
C2X,2F,G,7,EXL,-64.5,0.0,52.9,-0.0,45.9,-0.0,218.3,
C2X,3F,G,2,EXL,-94.9,-0.0,74.7,0.0,66.4,0.0,-168.9,
C1X,3F,G,3,EXL,-234.2,-0.0,182.8,0.0,163.3,0.0,-20.2,
C1X,3F,G,4,EXL,-237.2,0.0,184.6,-0.0,165.1,-0.0,-4.7,
C1X,3F,G,5,EXL,-237.0,0.0,184.5,-0.0,165.0,-0.0,-6.9,
C1X,3F,G,6,EXL,-234.0,0.0,182.7,-0.0,163.2,-0.0,16.9,
C2X,3F,G,7,EXL,-94.9,0.0,74.7,-0.0,66.4,-0.0,168.9,
C2X,4F,G,2,EXL,-55.4,-0.0,51.0,0.0,41.7,0.0,-120.1,
C1X,4F,G,3,EXL,-88.4,0.0,109.1,-0.0,77.3,-0.0,-15.5,
C1X,4F,G,4,EXL,-91.0,0.0,111.4,-0.0,79.3,-0.0,-3.4,
C1X,4F,G,5,EXL,-90.8,0.0,111.3,-0.0,79.1,-0.0,-5.5,
C1X,4F,G,6,EXL,-88.1,-0.0,108.9,0.0,77.1,0.0,12.9,
C2X,4F,G,7,EXL,-55.4,0.0,51.0,-0.0,41.6,-0.0,120.1,
C2X,5F,G,2,EXL,-168.0,-0.0,123.5,0.0,114.1,0.0,-53.7,
C1X,5F,G,3,EXL,-425.4,-0.0,314.6,0.0,289.8,0.0,-9.3,
C1X,5F,G,4,EXL,-435.1,0.0,317.8,-0.0,294.8,-0.0,-1.7,
C1X,5F,G,5,EXL,-434.8,0.0,317.7,-0.0,294.6,-0.0,-3.8,
C1X,5F,G,6,EXL,-425.1,0.0,314.4,0.0,289.5,-0.0,7.6,
C2X,5F,G,7,EXL,-167.9,0.0,123.4,-0.0,114.1,-0.0,53.6,
C2X,1F,A,2,EXR,85.0,-0.0,-121.7,0.0,-80.9,0.0,266.2,
C1X,1F,A,3,EXR,196.2,-0.0,-351.8,-0.0,-214.6,0.0,22.9,
C1X,1F,A,4,EXR,197.0,-0.0,-353.8,0.0,-215.7,0.0,-8.5,
C1X,1F,A,5,EXR,197.1,-0.0,-353.8,0.0,-215.7,0.0,-6.5,
C1X,1F,A,6,EXR,196.3,0.0,-351.8,-0.0,-214.6,-0.0,-27.3,
C2X,1F,A,7,EXR,85.0,0.0,-121.7,-0.0,-81.0,-0.0,-266.3,
C2X,2F,A,2,EXR,64.5,-0.0,-52.9,0.0,-45.9,0.0,218.3,
C1X,2F,A,3,EXR,134.6,-0.0,-116.9,0.0,-98.5,0.0,20.2,
C1X,2F,A,4,EXR,136.3,-0.0,-117.1,0.0,-99.2,0.0,-8.0,
C1X,2F,A,5,EXR,136.4,-0.0,-117.2,0.0,-99.3,0.0,-5.8,
C1X,2F,A,6,EXR,134.8,0.0,-117.0,-0.0,-98.6,-0.0,-24.2,
C2X,2F,A,7,EXR,64.5,0.0,-52.9,-0.0,-46.0,-0.0,-218.4,
C2X,3F,A,2,EXR,94.9,-0.0,-74.7,0.0,-66.4,0.0,168.9,
C1X,3F,A,3,EXR,234.0,0.0,-182.7,0.0,-163.2,0.0,16.9,
C1X,3F,A,4,EXR,237.0,-0.0,-184.5,0.0,-165.0,0.0,-6.9,
C1X,3F,A,5,EXR,237.2,-0.0,-184.6,0.0,-165.1,0.0,-4.7,
C1X,3F,A,6,EXR,234.2,0.0,-182.8,-0.0,-163.3,-0.0,-20.2,
C2X,3F,A,7,EXR,94.9,0.0,-74.7,-0.0,-66.4,-0.0,-168.9,
C2X,4F,A,2,EXR,55.4,-0.0,-51.0,0.0,-41.6,0.0,120.1,
C1X,4F,A,3,EXR,88.1,0.0,-108.9,-0.0,-77.1,-0.0,12.9,
C1X,4F,A,4,EXR,90.8,-0.0,-111.3,0.0,-79.1,0.0,-5.5,
C1X,4F,A,5,EXR,91.0,-0.0,-111.4,0.0,-79.3,0.0,-3.4,
C1X,4F,A,6,EXR,88.4,-0.0,-109.1,0.0,-77.3,0.0,-15.5,
C2X,4F,A,7,EXR,55.4,0.0,-51.0,-0.0,-41.7,-0.0,-120.1,
C2X,5F,A,2,EXR,167.9,-0.0,-123.4,0.0,-114.1,0.0,53.6,
C1X,5F,A,3,EXR,425.1,-0.0,-314.4,-0.0,-289.5,0.0,7.6,
C1X,5F,A,4,EXR,434.8,-0.0,-317.7,0.0,-294.6,0.0,-3.8,
C1X,5F,A,5,EXR,435.1,-0.0,-317.8,0.0,-294.8,0.0,-1.7,
C1X,5F,A,6,EXR,425.4,0.0,-314.6,-0.0,-289.8,-0.0,-9.3,
C2X,5F,A,7,EXR,168.0,0.0,-123.5,-0.0,-114.1,-0.0,-53.7,
C2Y,1F,B,1,EXR,8.3,-0.0,-29.8,-0.0,-14.1,0.0,0.1,
C5,1F,B,2,EXR,9.6,-0.0,-34.8,0.0,-16.5,0.0,-0.1,
C5,1F,B,7,EXR,9.6,0.0,-34.8,-0.0,-16.5,-0.0,0.1,
C2Y,1F,B,8,EXR,8.3,0.0,-29.8,0.0,-14.1,-0.0,-0.1,
C2Y,2F,B,1,EXR,-6.8,-0.0,6.1,0.0,4.8,0.0,0.0,
C5,2F,B,2,EXR,-8.0,-0.0,7.0,0.0,5.6,0.0,-0.0,
C5,2F,B,7,EXR,-8.0,0.0,7.0,-0.0,5.6,-0.0,0.0,
C2Y,2F,B,8,EXR,-6.8,0.0,6.1,-0.0,4.8,-0.0,-0.0,
C2Y,3F,B,1,EXR,6.9,-0.0,-4.9,0.0,-4.4,0.0,0.0,
C5,3F,B,2,EXR,8.0,-0.0,-5.7,0.0,-5.1,0.0,-0.0,
C5,3F,B,7,EXR,8.0,0.0,-5.7,-0.0,-5.1,-0.0,0.0,
C2Y,3F,B,8,EXR,6.9,0.0,-4.9,-0.0,-4.4,-0.0,-0.0,
C2Y,4F,B,1,EXR,-11.4,-0.0,4.2,0.0,5.8,0.0,0.0,
C5,4F,B,2,EXR,-13.4,-0.0,4.9,0.0,6.8,0.0,-0.0,
C5,4F,B,7,EXR,-13.4,0.0,4.9,-0.0,6.8,-0.0,0.0,
C2Y,4F,B,8,EXR,-11.4,0.0,4.2,-0.0,5.8,-0.0,-0.0,
C2Y,5F,B,1,EXR,0.0,-0.0,-9.8,0.0,-3.7,0.0,0.0,
C5,5F,B,2,EXR,0.0,-0.0,-11.5,0.0,-4.3,0.0,-0.0,
C5,5F,B,7,EXR,0.0,0.0,-11.5,-0.0,-4.3,-0.0,0.0,
C2Y,5F,B,8,EXR,0.0,0.0,-9.8,-0.0,-3.7,-0.0,-0.0,
C3Y,1F,C,1,EXR,-2.7,-0.0,-0.0,-0.0,0.8,0.0,0.0,
C3Y,1F,C,3,EXR,10.9,23.4,-50.5,-6.7,-23.9,-11.8,545.1,
C1Y,1F,C,4,EXR,7.8,19.3,-29.8,-6.1,-14.2,-9.9,190.3,
C1Y,1F,C,5,EXR,7.8,17.1,-29.8,-5.4,-14.2,-8.8,160.2,
C3Y,1F,C,6,EXR,10.9,-8.5,-50.5,2.4,-23.9,4.3,-157.6,
C3Y,1F,C,8,EXR,-2.7,0.0,-0.0,0.0,0.8,-0.0,-0.0,
C3Y,2F,C,1,EXR,-7.1,-0.0,-3.5,0.0,1.4,0.0,0.0,
C3Y,2F,C,3,EXR,-10.6,50.9,10.2,-26.2,8.1,-30.2,525.3,
C1Y,2F,C,4,EXR,-6.6,40.7,6.1,-21.8,4.8,-24.5,173.2,
C1Y,2F,C,5,EXR,-6.6,36.2,6.1,-19.3,4.8,-21.7,145.0,
C3Y,2F,C,6,EXR,-10.6,-19.1,10.2,9.6,8.1,11.2,-150.2,
C3Y,2F,C,8,EXR,-7.1,0.0,-3.5,-0.0,1.4,-0.0,-0.0,
C3Y,3F,C,1,EXR,9.9,-0.0,-4.7,-0.0,-5.7,-0.0,0.0,
C3Y,3F,C,3,EXR,10.8,54.5,-8.3,-44.5,-7.4,-38.8,489.2,
C1Y,3F,C,4,EXR,6.7,57.7,-4.9,-38.2,-4.4,-37.5,141.6,
C1Y,3F,C,5,EXR,6.7,49.3,-4.9,-33.6,-4.4,-32.4,117.1,
C3Y,3F,C,6,EXR,10.8,-15.6,-8.3,16.0,-7.4,12.4,-26.3,
C3Y,3F,C,8,EXR,9.9,-0.0,-4.7,0.0,-5.7,0.0,-0.0,
C3Y,4F,C,1,EXR,-18.2,-0.0,6.2,0.0,9.5,0.0,0.0,
C3Y,4F,C,3,EXR,-18.4,64.3,7.2,-43.6,10.0,-42.2,452.8,
C1Y,4F,C,4,EXR,-11.2,72.2,4.2,-50.0,5.8,-47.9,98.8,
C1Y,4F,C,5,EXR,-11.2,59.4,4.2,-41.9,5.8,-39.7,81.0,
C3Y,4F,C,6,EXR,-18.4,-13.1,7.2,10.6,10.0,9.3,-16.6,
C3Y,4F,C,8,EXR,-18.2,-0.0,6.2,-0.0,9.5,-0.0,-0.0,
C3Y,5F,C,1,EXR,-0.7,-0.0,-16.6,0.0,-6.2,0.0,0.0,
C3Y,5F,C,3,EXR,-0.7,96.8,-16.9,-57.6,-6.3,-60.4,36.9,
C1Y,5F,C,4,EXR,-0.1,105.8,-9.8,-64.6,-3.7,-66.7,44.1,
C1Y,5F,C,5,EXR,-0.1,86.7,-9.8,-52.8,-3.7,-54.6,36.1,
C3Y,5F,C,6,EXR,-0.7,-18.8,-16.9,11.0,-6.3,11.7,-7.4,
C3Y,5F,C,8,EXR,-0.7,-0.0,-16.6,0.0,-6.2,0.0,-0.0,
C5,1F,D,3,EXR,-1.8,0.0,-0.0,-0.0,0.5,-0.0,1713.2,
C5,1F,D,4,EXR,-1.9,0.0,-0.0,-0.0,0.5,-0.0,1332.6,
C5,1F,D,5,EXR,-1.9,0.0,-0.0,0.0,0.5,0.0,1177.4,
C5,1F,D,6,EXR,-1.8,-0.0,-0.0,0.0,0.5,0.0,-605.2,
C5,2F,D,3,EXR,-4.8,-0.0,-2.4,0.0,1.0,0.0,1756.7,
C5,2F,D,4,EXR,-4.9,-0.0,-2.4,0.0,1.0,0.0,1376.4,
C5,2F,D,5,EXR,-4.9,-0.0,-2.4,-0.0,1.0,0.0,1208.7,
C5,2F,D,6,EXR,-4.8,0.0,-2.4,-0.0,1.0,-0.0,-623.3,
C5,3F,D,3,EXR,6.8,0.0,-3.2,-0.0,-3.9,-0.0,281.9,
C5,3F,D,4,EXR,7.1,0.0,-3.2,-0.0,-3.9,-0.0,998.5,
C5,3F,D,5,EXR,7.1,0.0,-3.2,-0.0,-3.9,-0.0,735.3,
C5,3F,D,6,EXR,6.7,-0.0,-3.2,0.0,-3.9,0.0,302.7,
C5,4F,D,3,EXR,-12.4,0.0,4.2,0.0,6.5,0.0,1055.7,
C5,4F,D,4,EXR,-13.0,-0.0,4.2,0.0,6.5,0.0,1005.9,
C5,4F,D,5,EXR,-13.0,-0.0,4.2,0.0,6.5,0.0,736.2,
C5,4F,D,6,EXR,-12.4,-0.0,4.2,-0.0,6.5,0.0,31.8,
C5,5F,D,3,EXR,-0.4,0.0,-11.4,0.0,-4.2,0.0,-69.7,
C5,5F,D,4,EXR,-0.1,-0.0,-11.3,-0.0,-4.2,-0.0,-82.0,
C5,5F,D,5,EXR,-0.1,-0.0,-11.3,-0.0,-4.2,-0.0,-67.1,
C5,5F,D,6,EXR,-0.5,-0.0,-11.3,-0.0,-4.2,-0.0,13.9,
C3Y,1F,E,1,EXR,-2.7,0.0,-0.0,-0.0,0.8,-0.0,0.0,
C3Y,1F,E,3,EXR,10.9,-23.4,-50.5,6.7,-23.9,11.8,545.1,
