App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<Së¢íåê›åvâûóÕ>
íåïÑçÜ,äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,Åyíåì™ÅzMx[kNm],Åyíåì™ÅzMy[kNm],ÅyíåãrÅzMx[kNm],ÅyíåãrÅzMy[kNm],Qx[kN],Qy[kN],N[kN]
C1X,4F,G,3,V,-1.9,-0.0,4.1,0.0,1.9,0.0,632.9,
C1X,4F,G,4,V,-1.2,-0.0,0.7,0.0,0.6,0.0,606.6,
C1X,4F,G,5,V,1.2,-0.0,-0.7,0.0,-0.6,0.0,606.6,
C1X,4F,G,6,V,1.9,-0.0,-4.1,0.0,-1.9,0.0,632.9,
C2X,4F,G,7,V,-51.9,0.0,52.9,-0.0,33.3,-0.0,276.2,
C2X,5F,G,2,V,77.1,0.0,-62.2,0.0,-44.2,0.0,146.7,
C1X,5F,G,3,V,-15.3,-0.0,6.0,0.0,6.8,0.0,339.7,
C1X,5F,G,4,V,0.4,-0.0,0.8,0.0,0.1,0.0,320.0,
C1X,5F,G,5,V,-0.4,-0.0,-0.8,0.0,-0.1,0.0,320.0,
C1X,5F,G,6,V,15.3,-0.0,-6.0,0.0,-6.8,0.0,339.7,
C2X,5F,G,7,V,-77.1,0.0,62.2,0.0,44.2,0.0,146.7,
C2X,1F,A,2,EXL,-85.0,0.0,121.7,-0.0,81.0,-0.0,-266.3,
C1X,1F,A,3,EXL,-196.3,0.0,351.8,-0.0,214.6,-0.0,-27.3,
C1X,1F,A,4,EXL,-197.1,-0.0,353.8,0.0,215.7,0.0,-6.5,
C1X,1F,A,5,EXL,-197.0,-0.0,353.8,0.0,215.7,0.0,-8.5,
C1X,1F,A,6,EXL,-196.2,-0.0,351.8,-0.0,214.6,0.0,22.9,
C2X,1F,A,7,EXL,-85.0,-0.0,121.7,0.0,80.9,0.0,266.2,
C2X,2F,A,2,EXL,-64.5,0.0,52.9,-0.0,46.0,-0.0,-218.4,
C1X,2F,A,3,EXL,-134.8,0.0,117.0,-0.0,98.6,-0.0,-24.2,
C1X,2F,A,4,EXL,-136.4,-0.0,117.2,0.0,99.3,0.0,-5.8,
