App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<íåïîçﬁâûóÕ>
äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,MU[kNm],MD[kNm],Q[kN],N[kN]
4F,C,6,EXR,-19.7,11.7,10.0,-16.6,
4F,C,8,EXR,-19.4,10.6,9.5,-0.0,
4F,D,3,EXR,-13.2,7.2,6.5,1055.7,
4F,D,4,EXR,-13.2,7.2,6.5,1005.9,
4F,D,5,EXR,-13.2,7.2,6.5,736.2,
4F,D,6,EXR,-13.2,7.2,6.5,31.8,
4F,E,1,EXR,-19.4,10.6,9.5,0.0,
4F,E,3,EXR,-19.7,11.7,10.0,452.8,
4F,E,4,EXR,-11.4,6.8,5.8,98.8,
4F,E,5,EXR,-11.4,6.8,5.8,81.0,
4F,E,6,EXR,-19.7,11.7,10.0,-16.6,
4F,E,8,EXR,-19.4,10.6,9.5,-0.0,
4F,F,1,EXR,-11.4,6.8,5.8,0.0,
4F,F,2,EXR,-13.4,8.0,6.8,-0.0,
4F,F,7,EXR,-13.4,8.0,6.8,0.0,
4F,F,8,EXR,-11.4,6.8,5.8,-0.0,
4F,G,2,EXR,61.2,-69.9,-41.6,120.1,
4F,G,3,EXR,99.0,-144.0,-77.1,12.9,
4F,G,4,EXR,102.0,-147.3,-79.1,-5.5,
4F,G,5,EXR,102.2,-147.5,-79.3,-3.4,
4F,G,6,EXR,99.3,-144.2,-77.3,-15.5,
4F,G,7,EXR,61.3,-70.0,-41.7,-120.1,
5F,A,2,EXR,184.0,-175.3,-114.1,53.6,
5F,A,3,EXR,465.9,-446.1,-289.5,7.6,
5F,A,4,EXR,476.3,-451.7,-294.6,-3.8,
5F,A,5,EXR,476.7,-452.0,-294.8,-1.7,
5F,A,6,EXR,466.3,-446.4,-289.8,-9.3,
5F,A,7,EXR,184.1,-175.4,-114.1,-53.7,
5F,B,1,EXR,0.0,-11.5,-3.7,0.0,
5F,B,2,EXR,0.0,-13.5,-4.3,-0.0,
5F,B,7,EXR,0.0,-13.5,-4.3,0.0,
5F,B,8,EXR,0.0,-11.5,-3.7,-0.0,
5F,C,1,EXR,0.0,-19.4,-6.2,0.0,
5F,C,3,EXR,0.1,-19.7,-6.3,36.9,
5F,C,4,EXR,0.1,-11.5,-3.7,44.1,
5F,C,5,EXR,0.1,-11.5,-3.7,36.1,
5F,C,6,EXR,0.1,-19.7,-6.3,-7.4,
5F,C,8,EXR,0.0,-19.4,-6.2,-0.0,
5F,D,3,EXR,0.1,-13.3,-4.2,-69.7,
5F,D,4,EXR,0.1,-13.3,-4.2,-82.0,
5F,D,5,EXR,0.1,-13.3,-4.2,-67.1,
5F,D,6,EXR,0.1,-13.3,-4.2,13.9,
5F,E,1,EXR,0.0,-19.4,-6.2,0.0,
5F,E,3,EXR,0.1,-19.7,-6.3,36.9,
5F,E,4,EXR,0.1,-11.5,-3.7,44.1,
5F,E,5,EXR,0.1,-11.5,-3.7,36.1,
5F,E,6,EXR,0.1,-19.7,-6.3,-7.4,
5F,E,8,EXR,0.0,-19.4,-6.2,-0.0,
5F,F,1,EXR,0.0,-11.5,-3.7,0.0,
5F,F,2,EXR,0.0,-13.5,-4.3,-0.0,
5F,F,7,EXR,0.0,-13.5,-4.3,0.0,
5F,F,8,EXR,0.0,-11.5,-3.7,-0.0,
5F,G,2,EXR,184.0,-175.3,-114.1,53.6,
5F,G,3,EXR,465.9,-446.1,-289.5,7.6,
5F,G,4,EXR,476.3,-451.7,-294.6,-3.8,
5F,G,5,EXR,476.7,-452.0,-294.8,-1.7,
5F,G,6,EXR,466.3,-446.4,-289.8,-9.3,
5F,G,7,EXR,184.1,-175.4,-114.1,-53.7,
1F,1,B,EXR,-0.0,0.0,0.0,0.1,
1F,1,C,EXR,-0.0,0.0,0.0,0.0,
1F,1,E,EXR,0.0,-0.0,-0.0,0.0,
1F,1,F,EXR,0.0,-0.0,-0.0,0.1,
1F,2,A,EXR,-0.0,0.0,0.0,266.2,
1F,2,B,EXR,-0.0,0.0,0.0,-0.1,
1F,2,F,EXR,0.0,-0.0,-0.0,-0.1,
1F,2,G,EXR,0.0,-0.0,-0.0,266.2,
1F,3,A,EXR,-0.0,-0.0,0.0,22.9,
1F,3,C,EXR,25.1,-16.1,-11.8,545.1,
1F,3,D,EXR,0.0,-0.0,-0.0,1713.2,
1F,3,E,EXR,-25.1,16.1,11.8,545.1,
1F,3,G,EXR,0.0,0.0,-0.0,22.9,
1F,4,A,EXR,-0.0,0.0,0.0,-8.5,
1F,4,C,EXR,20.7,-14.1,-9.9,190.3,
1F,4,D,EXR,0.0,-0.0,-0.0,1332.6,
1F,4,E,EXR,-20.7,14.1,9.9,190.3,
1F,4,G,EXR,0.0,-0.0,-0.0,-8.5,
1F,5,A,EXR,-0.0,0.0,0.0,-6.5,
1F,5,C,EXR,18.3,-12.5,-8.8,160.2,
1F,5,D,EXR,0.0,0.0,0.0,1177.4,
1F,5,E,EXR,-18.3,12.5,8.8,160.2,
1F,5,G,EXR,0.0,-0.0,-0.0,-6.5,
1F,6,A,EXR,0.0,-0.0,-0.0,-27.3,
1F,6,C,EXR,-9.1,5.9,4.3,-157.6,
1F,6,D,EXR,-0.0,0.0,0.0,-605.2,
1F,6,E,EXR,9.1,-5.9,-4.3,-157.6,
1F,6,G,EXR,-0.0,0.0,0.0,-27.3,
1F,7,A,EXR,0.0,-0.0,-0.0,-266.3,
1F,7,B,EXR,0.0,-0.0,-0.0,0.1,
1F,7,F,EXR,-0.0,0.0,0.0,0.1,
1F,7,G,EXR,-0.0,0.0,0.0,-266.3,
1F,8,B,EXR,0.0,-0.0,-0.0,-0.1,
1F,8,C,EXR,0.0,-0.0,-0.0,-0.0,
1F,8,E,EXR,-0.0,0.0,0.0,-0.0,
1F,8,F,EXR,-0.0,0.0,0.0,-0.1,
2F,1,B,EXR,-0.0,0.0,0.0,0.0,
2F,1,C,EXR,-0.0,0.0,0.0,0.0,
2F,1,E,EXR,0.0,-0.0,-0.0,0.0,
2F,1,F,EXR,0.0,-0.0,-0.0,0.0,
2F,2,A,EXR,-0.0,0.0,0.0,218.3,
2F,2,B,EXR,-0.0,0.0,0.0,-0.0,
2F,2,F,EXR,0.0,-0.0,-0.0,-0.0,
2F,2,G,EXR,0.0,-0.0,-0.0,218.3,
2F,3,A,EXR,-0.0,0.0,0.0,20.2,
2F,3,C,EXR,55.2,-39.9,-30.2,525.3,
2F,3,D,EXR,-0.0,0.0,0.0,1756.7,
2F,3,E,EXR,-55.2,39.9,30.2,525.3,
2F,3,G,EXR,0.0,-0.0,-0.0,20.2,
2F,4,A,EXR,-0.0,0.0,0.0,-8.0,
2F,4,C,EXR,44.1,-32.9,-24.5,173.2,
2F,4,D,EXR,-0.0,0.0,0.0,1376.4,
2F,4,E,EXR,-44.1,32.9,24.5,173.2,
2F,4,G,EXR,0.0,-0.0,-0.0,-8.0,
2F,5,A,EXR,-0.0,0.0,0.0,-5.8,
2F,5,C,EXR,39.3,-29.2,-21.7,145.0,
2F,5,D,EXR,-0.0,0.0,0.0,1208.7,
2F,5,E,EXR,-39.3,29.2,21.7,145.0,
2F,5,G,EXR,0.0,-0.0,-0.0,-5.8,
2F,6,A,EXR,0.0,-0.0,-0.0,-24.2,
2F,6,C,EXR,-20.7,14.7,11.2,-150.2,
2F,6,D,EXR,0.0,-0.0,-0.0,-623.3,
2F,6,E,EXR,20.7,-14.7,-11.2,-150.2,
2F,6,G,EXR,-0.0,0.0,0.0,-24.2,
2F,7,A,EXR,0.0,-0.0,-0.0,-218.4,
2F,7,B,EXR,0.0,-0.0,-0.0,0.0,
2F,7,F,EXR,-0.0,0.0,0.0,0.0,
2F,7,G,EXR,-0.0,0.0,0.0,-218.4,
2F,8,B,EXR,0.0,-0.0,-0.0,-0.0,
2F,8,C,EXR,0.0,-0.0,-0.0,-0.0,
2F,8,E,EXR,-0.0,0.0,0.0,-0.0,
2F,8,F,EXR,-0.0,0.0,0.0,-0.0,
3F,1,B,EXR,-0.0,0.0,0.0,0.0,
3F,1,C,EXR,-0.0,-0.0,-0.0,0.0,
3F,1,E,EXR,0.0,-0.0,-0.0,0.0,
3F,1,F,EXR,0.0,-0.0,-0.0,0.0,
3F,2,A,EXR,-0.0,0.0,0.0,168.9,
3F,2,B,EXR,-0.0,0.0,0.0,-0.0,
3F,2,F,EXR,0.0,-0.0,-0.0,-0.0,
3F,2,G,EXR,0.0,-0.0,-0.0,168.9,
3F,3,A,EXR,0.0,0.0,0.0,16.9,
3F,3,C,EXR,60.0,-62.2,-38.8,489.2,
3F,3,D,EXR,0.0,-0.0,-0.0,281.9,
3F,3,E,EXR,-60.0,62.2,38.8,489.2,
3F,3,G,EXR,0.0,-0.0,-0.0,16.9,
3F,4,A,EXR,-0.0,0.0,0.0,-6.9,
3F,4,C,EXR,63.0,-55.2,-37.5,141.6,
3F,4,D,EXR,0.0,-0.0,-0.0,998.5,
3F,4,E,EXR,-63.0,55.2,37.5,141.6,
3F,4,G,EXR,0.0,-0.0,-0.0,-6.9,
3F,5,A,EXR,-0.0,0.0,0.0,-4.7,
3F,5,C,EXR,53.8,-48.3,-32.4,117.1,
3F,5,D,EXR,0.0,-0.0,-0.0,735.3,
3F,5,E,EXR,-53.8,48.3,32.4,117.1,
3F,5,G,EXR,0.0,-0.0,-0.0,-4.7,
3F,6,A,EXR,0.0,-0.0,-0.0,-20.2,
3F,6,C,EXR,-17.4,21.6,12.4,-26.3,
3F,6,D,EXR,-0.0,0.0,0.0,302.7,
3F,6,E,EXR,17.4,-21.6,-12.4,-26.3,
3F,6,G,EXR,-0.0,0.0,0.0,-20.2,
3F,7,A,EXR,0.0,-0.0,-0.0,-168.9,
3F,7,B,EXR,0.0,-0.0,-0.0,0.0,
3F,7,F,EXR,-0.0,0.0,0.0,0.0,
3F,7,G,EXR,-0.0,0.0,0.0,-168.9,
3F,8,B,EXR,0.0,-0.0,-0.0,-0.0,
3F,8,C,EXR,-0.0,0.0,0.0,-0.0,
3F,8,E,EXR,-0.0,0.0,0.0,-0.0,
3F,8,F,EXR,-0.0,0.0,0.0,-0.0,
4F,1,B,EXR,-0.0,0.0,0.0,0.0,
4F,1,C,EXR,-0.0,0.0,0.0,0.0,
4F,1,E,EXR,0.0,-0.0,-0.0,0.0,
4F,1,F,EXR,0.0,-0.0,-0.0,0.0,
4F,2,A,EXR,-0.0,0.0,0.0,120.1,
4F,2,B,EXR,-0.0,0.0,0.0,-0.0,
4F,2,F,EXR,0.0,-0.0,-0.0,-0.0,
4F,2,G,EXR,0.0,-0.0,-0.0,120.1,
4F,3,A,EXR,0.0,-0.0,-0.0,12.9,
4F,3,C,EXR,70.2,-62.8,-42.2,452.8,
4F,3,D,EXR,0.0,0.0,0.0,1055.7,
4F,3,E,EXR,-70.2,62.8,42.2,452.8,
4F,3,G,EXR,-0.0,0.0,0.0,12.9,
4F,4,A,EXR,-0.0,0.0,0.0,-5.5,
4F,4,C,EXR,79.0,-71.8,-47.9,98.8,
4F,4,D,EXR,-0.0,0.0,0.0,1005.9,
4F,4,E,EXR,-79.0,71.8,47.9,98.8,
4F,4,G,EXR,0.0,-0.0,-0.0,-5.5,
4F,5,A,EXR,-0.0,0.0,0.0,-3.4,
4F,5,C,EXR,65.0,-60.0,-39.7,81.0,
4F,5,D,EXR,-0.0,0.0,0.0,736.2,
4F,5,E,EXR,-65.0,60.0,39.7,81.0,
4F,5,G,EXR,0.0,-0.0,-0.0,-3.4,
4F,6,A,EXR,-0.0,0.0,0.0,-15.5,
4F,6,C,EXR,-14.4,14.8,9.3,-16.6,
4F,6,D,EXR,-0.0,-0.0,0.0,31.8,
4F,6,E,EXR,14.4,-14.8,-9.3,-16.6,
4F,6,G,EXR,0.0,-0.0,-0.0,-15.5,
4F,7,A,EXR,0.0,-0.0,-0.0,-120.1,
4F,7,B,EXR,0.0,-0.0,-0.0,0.0,
4F,7,F,EXR,-0.0,0.0,0.0,0.0,
4F,7,G,EXR,-0.0,0.0,0.0,-120.1,
4F,8,B,EXR,0.0,-0.0,-0.0,-0.0,
4F,8,C,EXR,-0.0,-0.0,-0.0,-0.0,
4F,8,E,EXR,-0.0,0.0,0.0,-0.0,
4F,8,F,EXR,-0.0,0.0,0.0,-0.0,
5F,1,B,EXR,-0.0,0.0,0.0,0.0,
5F,1,C,EXR,-0.0,0.0,0.0,0.0,
5F,1,E,EXR,0.0,-0.0,-0.0,0.0,
5F,1,F,EXR,0.0,-0.0,-0.0,0.0,
5F,2,A,EXR,-0.0,0.0,0.0,53.6,
5F,2,B,EXR,-0.0,0.0,0.0,-0.0,
5F,2,F,EXR,0.0,-0.0,-0.0,-0.0,
5F,2,G,EXR,0.0,-0.0,-0.0,53.6,
5F,3,A,EXR,-0.0,0.0,0.0,7.6,
5F,3,C,EXR,105.3,-85.1,-60.4,36.9,
5F,3,D,EXR,-0.0,0.0,0.0,-69.7,
5F,3,E,EXR,-105.3,85.1,60.4,36.9,
5F,3,G,EXR,0.0,-0.0,-0.0,7.6,
5F,4,A,EXR,-0.0,0.0,0.0,-3.8,
5F,4,C,EXR,115.2,-95.0,-66.7,44.1,
5F,4,D,EXR,0.0,-0.0,-0.0,-82.0,
5F,4,E,EXR,-115.2,95.0,66.7,44.1,
5F,4,G,EXR,0.0,-0.0,-0.0,-3.8,
5F,5,A,EXR,-0.0,0.0,0.0,-1.7,
5F,5,C,EXR,94.4,-77.7,-54.6,36.1,
5F,5,D,EXR,-0.0,-0.0,-0.0,-67.1,
5F,5,E,EXR,-94.4,77.7,54.6,36.1,
5F,5,G,EXR,0.0,-0.0,-0.0,-1.7,
5F,6,A,EXR,0.0,-0.0,-0.0,-9.3,
5F,6,C,EXR,-20.5,16.3,11.7,-7.4,
5F,6,D,EXR,-0.0,-0.0,-0.0,13.9,
5F,6,E,EXR,20.5,-16.3,-11.7,-7.4,
5F,6,G,EXR,-0.0,0.0,0.0,-9.3,
5F,7,A,EXR,0.0,-0.0,-0.0,-53.7,
5F,7,B,EXR,0.0,-0.0,-0.0,0.0,
5F,7,F,EXR,-0.0,0.0,0.0,0.0,
5F,7,G,EXR,-0.0,0.0,0.0,-53.7,
5F,8,B,EXR,0.0,-0.0,-0.0,-0.0,
5F,8,C,EXR,-0.0,0.0,0.0,-0.0,
5F,8,E,EXR,0.0,-0.0,-0.0,-0.0,
5F,8,F,EXR,-0.0,0.0,0.0,-0.0,
1F,A,2,EYL,-0.3,0.2,0.1,-2.1,
1F,A,3,EYL,-0.3,0.2,0.1,-60.1,
1F,A,4,EYL,0.1,-0.0,-0.0,-54.2,
1F,A,5,EYL,-0.1,0.0,0.0,-54.2,
1F,A,6,EYL,0.3,-0.2,-0.1,-60.1,
1F,A,7,EYL,0.3,-0.2,-0.1,-2.1,
1F,B,1,EYL,0.0,-0.0,-0.0,-401.0,
1F,B,2,EYL,0.0,-0.0,-0.0,0.0,
1F,B,7,EYL,-0.0,0.0,0.0,0.0,
1F,B,8,EYL,-0.0,0.0,0.0,-401.0,
1F,C,1,EYL,-0.0,0.0,0.0,82.8,
1F,C,3,EYL,0.0,-0.0,-0.0,-1412.4,
1F,C,4,EYL,0.0,-0.0,-0.0,-345.2,
1F,C,5,EYL,-0.0,0.0,0.0,-345.2,
1F,C,6,EYL,-0.0,0.0,0.0,-1412.4,
1F,C,8,EYL,0.0,-0.0,-0.0,82.8,
1F,D,3,EYL,0.0,-0.0,-0.0,128.4,
1F,D,4,EYL,0.0,-0.0,-0.0,16.6,
1F,D,5,EYL,-0.0,0.0,0.0,16.6,
1F,D,6,EYL,-0.0,0.0,0.0,128.4,
1F,E,1,EYL,-0.0,0.0,0.0,1989.0,
1F,E,3,EYL,-0.0,0.0,0.0,1261.9,
1F,E,4,EYL,-0.0,0.0,0.0,350.5,
1F,E,5,EYL,0.0,-0.0,-0.0,350.5,
1F,E,6,EYL,0.0,-0.0,-0.0,1261.9,
1F,E,8,EYL,0.0,-0.0,-0.0,1989.0,
1F,F,1,EYL,-0.0,0.0,0.0,466.1,
1F,F,2,EYL,-0.0,0.0,0.0,-0.0,
1F,F,7,EYL,0.0,-0.0,-0.0,-0.0,
1F,F,8,EYL,0.0,-0.0,-0.0,466.1,
1F,G,2,EYL,0.3,-0.2,-0.1,2.1,
1F,G,3,EYL,0.3,-0.2,-0.1,60.4,
1F,G,4,EYL,-0.1,0.0,0.0,54.0,
1F,G,5,EYL,0.1,-0.0,-0.0,54.0,
1F,G,6,EYL,-0.3,0.2,0.1,60.4,
1F,G,7,EYL,-0.3,0.2,0.1,2.1,
2F,A,2,EYL,-0.5,0.4,0.3,-1.8,
2F,A,3,EYL,-0.5,0.4,0.3,-50.4,
2F,A,4,EYL,0.1,-0.1,-0.1,-45.3,
2F,A,5,EYL,-0.1,0.1,0.1,-45.3,
2F,A,6,EYL,0.5,-0.4,-0.3,-50.4,
2F,A,7,EYL,0.5,-0.4,-0.3,-1.8,
2F,B,1,EYL,0.0,-0.0,-0.0,-334.2,
2F,B,2,EYL,0.0,-0.0,-0.0,0.0,
2F,B,7,EYL,-0.0,0.0,0.0,0.0,
2F,B,8,EYL,-0.0,0.0,0.0,-334.2,
2F,C,1,EYL,-0.0,0.0,0.0,98.6,
2F,C,3,EYL,0.0,-0.0,-0.0,-1361.3,
2F,C,4,EYL,0.0,-0.0,-0.0,-284.5,
2F,C,5,EYL,-0.0,0.0,0.0,-284.5,
2F,C,6,EYL,-0.0,0.0,0.0,-1361.3,
2F,C,8,EYL,0.0,-0.0,-0.0,98.6,
2F,D,3,EYL,-0.0,0.0,0.0,133.9,
2F,D,4,EYL,-0.0,0.0,0.0,17.5,
2F,D,5,EYL,0.0,-0.0,-0.0,17.5,
2F,D,6,EYL,0.0,-0.0,-0.0,133.9,
2F,E,1,EYL,-0.0,0.0,0.0,2049.8,
2F,E,3,EYL,-0.0,0.0,0.0,1205.5,
2F,E,4,EYL,-0.0,0.0,0.0,289.4,
2F,E,5,EYL,0.0,-0.0,-0.0,289.4,
2F,E,6,EYL,0.0,-0.0,-0.0,1205.5,
2F,E,8,EYL,0.0,-0.0,-0.0,2049.8,
2F,F,1,EYL,-0.0,0.0,0.0,386.9,
2F,F,2,EYL,-0.0,0.0,0.0,-0.0,
2F,F,7,EYL,0.0,-0.0,-0.0,-0.0,
2F,F,8,EYL,0.0,-0.0,-0.0,386.9,
2F,G,2,EYL,0.5,-0.4,-0.3,1.9,
2F,G,3,EYL,0.5,-0.4,-0.3,51.0,
2F,G,4,EYL,-0.1,0.1,0.1,45.1,
2F,G,5,EYL,0.1,-0.1,-0.1,45.1,
2F,G,6,EYL,-0.5,0.4,0.3,51.0,
2F,G,7,EYL,-0.5,0.4,0.3,1.9,
3F,A,2,EYL,-0.7,0.6,0.4,-1.5,
3F,A,3,EYL,-0.7,0.6,0.4,-37.6,
3F,A,4,EYL,0.2,-0.1,-0.1,-33.9,
3F,A,5,EYL,-0.2,0.1,0.1,-33.9,
3F,A,6,EYL,0.7,-0.6,-0.4,-37.6,
3F,A,7,EYL,0.7,-0.6,-0.4,-1.5,
3F,B,1,EYL,0.0,-0.0,-0.0,-246.4,
3F,B,2,EYL,0.0,-0.0,-0.0,0.0,
3F,B,7,EYL,-0.0,0.0,0.0,0.0,
3F,B,8,EYL,-0.0,0.0,0.0,-246.4,
3F,C,1,EYL,-0.0,0.0,0.0,71.4,
3F,C,3,EYL,0.0,-0.0,-0.0,-154.3,
3F,C,4,EYL,0.0,-0.0,-0.0,-208.4,
3F,C,5,EYL,-0.0,0.0,0.0,-208.4,
3F,C,6,EYL,-0.0,0.0,0.0,-154.3,
3F,C,8,EYL,0.0,-0.0,-0.0,71.4,
3F,D,3,EYL,-0.0,0.0,0.0,164.1,
3F,D,4,EYL,-0.0,0.0,0.0,17.3,
3F,D,5,EYL,0.0,-0.0,-0.0,17.3,
3F,D,6,EYL,0.0,-0.0,-0.0,164.1,
3F,E,1,EYL,-0.0,0.0,0.0,-110.4,
3F,E,3,EYL,-0.0,0.0,0.0,1137.9,
3F,E,4,EYL,-0.0,0.0,0.0,212.5,
3F,E,5,EYL,0.0,-0.0,-0.0,212.5,
3F,E,6,EYL,0.0,-0.0,-0.0,1137.9,
3F,E,8,EYL,0.0,-0.0,-0.0,-110.4,
3F,F,1,EYL,-0.0,0.0,0.0,285.4,
3F,F,2,EYL,-0.0,0.0,0.0,-0.0,
3F,F,7,EYL,0.0,-0.0,-0.0,-0.0,
3F,F,8,EYL,0.0,-0.0,-0.0,285.4,
3F,G,2,EYL,0.7,-0.6,-0.4,1.5,
3F,G,3,EYL,0.7,-0.6,-0.4,38.7,
3F,G,4,EYL,-0.2,0.1,0.1,33.7,
3F,G,5,EYL,0.2,-0.1,-0.1,33.7,
3F,G,6,EYL,-0.7,0.6,0.4,38.7,
3F,G,7,EYL,-0.7,0.6,0.4,1.5,
4F,A,2,EYL,-0.8,0.8,0.5,-1.0,
4F,A,3,EYL,-0.8,0.7,0.5,-23.5,
4F,A,4,EYL,0.2,-0.2,-0.1,-21.1,
4F,A,5,EYL,-0.2,0.2,0.1,-21.1,
4F,A,6,EYL,0.8,-0.7,-0.5,-23.5,
4F,A,7,EYL,0.8,-0.8,-0.5,-1.0,
4F,B,1,EYL,0.0,-0.0,-0.0,-150.7,
4F,B,2,EYL,0.0,-0.0,-0.0,0.0,
4F,B,7,EYL,-0.0,0.0,0.0,0.0,
4F,B,8,EYL,-0.0,0.0,0.0,-150.7,
4F,C,1,EYL,-0.0,0.0,0.0,45.2,
4F,C,3,EYL,-0.0,0.0,0.0,-90.8,
4F,C,4,EYL,0.0,-0.0,-0.0,-125.7,
4F,C,5,EYL,-0.0,0.0,0.0,-125.7,
4F,C,6,EYL,0.0,0.0,0.0,-90.8,
4F,C,8,EYL,0.0,-0.0,-0.0,45.2,
4F,D,3,EYL,-0.0,0.0,0.0,4.1,
4F,D,4,EYL,-0.0,0.0,0.0,18.7,
4F,D,5,EYL,0.0,-0.0,-0.0,18.7,
4F,D,6,EYL,0.0,-0.0,-0.0,4.1,
4F,E,1,EYL,0.0,-0.0,-0.0,-70.0,
4F,E,3,EYL,-0.0,0.0,0.0,1069.1,
4F,E,4,EYL,-0.0,0.0,0.0,128.6,
4F,E,5,EYL,0.0,-0.0,-0.0,128.6,
4F,E,6,EYL,0.0,-0.0,-0.0,1069.1,
4F,E,8,EYL,-0.0,0.0,0.0,-70.0,
4F,F,1,EYL,-0.0,0.0,0.0,175.5,
4F,F,2,EYL,-0.0,0.0,0.0,-0.0,
4F,F,7,EYL,0.0,-0.0,-0.0,-0.0,
4F,F,8,EYL,0.0,-0.0,-0.0,175.5,
4F,G,2,EYL,0.8,-0.8,-0.5,1.0,
4F,G,3,EYL,0.8,-0.7,-0.5,24.7,
4F,G,4,EYL,-0.2,0.2,0.1,20.9,
4F,G,5,EYL,0.2,-0.2,-0.1,20.9,
4F,G,6,EYL,-0.8,0.7,0.5,24.7,
4F,G,7,EYL,-0.8,0.8,0.5,1.0,
5F,A,2,EYL,-1.1,1.0,0.7,-0.4,
5F,A,3,EYL,-1.1,0.9,0.6,-10.2,
5F,A,4,EYL,0.3,-0.2,-0.2,-8.7,
5F,A,5,EYL,-0.3,0.2,0.2,-8.7,
5F,A,6,EYL,1.1,-0.9,-0.6,-10.2,
5F,A,7,EYL,1.1,-1.0,-0.7,-0.4,
5F,B,1,EYL,0.0,-0.0,-0.0,-60.4,
5F,B,2,EYL,0.0,-0.0,-0.0,0.0,
5F,B,7,EYL,-0.0,0.0,0.0,0.0,
5F,B,8,EYL,-0.0,0.0,0.0,-60.4,
5F,C,1,EYL,-0.0,0.0,0.0,21.3,
5F,C,3,EYL,-0.0,0.0,0.0,-32.9,
5F,C,4,EYL,0.0,-0.0,-0.0,-48.5,
5F,C,5,EYL,-0.0,0.0,0.0,-48.5,
5F,C,6,EYL,0.0,-0.0,-0.0,-32.9,
5F,C,8,EYL,0.0,-0.0,-0.0,21.3,
5F,D,3,EYL,-0.0,0.0,0.0,2.2,
5F,D,4,EYL,-0.0,0.0,0.0,-1.2,
5F,D,5,EYL,0.0,-0.0,-0.0,-1.2,
5F,D,6,EYL,0.0,-0.0,-0.0,2.2,
5F,E,1,EYL,0.0,-0.0,-0.0,-31.7,
5F,E,3,EYL,-0.0,0.0,0.0,30.2,
5F,E,4,EYL,-0.0,0.0,0.0,49.8,
5F,E,5,EYL,0.0,-0.0,-0.0,49.8,
5F,E,6,EYL,0.0,-0.0,-0.0,30.2,
5F,E,8,EYL,-0.0,0.0,0.0,-31.7,
5F,F,1,EYL,-0.0,0.0,0.0,70.9,
5F,F,2,EYL,-0.0,0.0,0.0,-0.0,
5F,F,7,EYL,0.0,-0.0,-0.0,-0.0,
5F,F,8,EYL,0.0,-0.0,-0.0,70.9,
5F,G,2,EYL,1.2,-1.0,-0.7,0.4,
5F,G,3,EYL,1.1,-0.9,-0.6,10.8,
5F,G,4,EYL,-0.4,0.3,0.2,8.6,
5F,G,5,EYL,0.4,-0.3,-0.2,8.6,
5F,G,6,EYL,-1.1,0.9,0.6,10.8,
5F,G,7,EYL,-1.2,1.0,0.7,0.4,
1F,1,B,EYL,-121.3,366.0,139.4,-401.0,
1F,1,C,EYL,-220.2,559.7,223.2,82.8,
1F,1,E,EYL,-189.0,540.3,208.7,1989.0,
1F,1,F,EYL,-136.7,376.1,146.7,466.1,
1F,2,A,EYL,-4.5,42.8,13.5,-2.1,
1F,2,B,EYL,-6.5,111.7,33.8,0.0,
1F,2,F,EYL,-6.5,111.7,33.8,-0.0,
1F,2,G,EYL,-4.5,42.8,13.5,2.1,
1F,3,A,EYL,4.9,0.0,-1.4,-60.1,
1F,3,C,EYL,-153.7,497.3,186.3,-1412.4,
1F,3,D,EYL,-7.7,117.2,35.7,128.4,
1F,3,E,EYL,-159.8,501.1,189.1,1261.9,
1F,3,G,EYL,4.9,0.0,-1.4,60.4,
1F,4,A,EYL,4.9,0.0,-1.4,-54.2,
1F,4,C,EYL,-164.6,461.8,179.2,-345.2,
1F,4,D,EYL,-7.6,116.9,35.6,16.6,
1F,4,E,EYL,-165.1,462.2,179.5,350.5,
1F,4,G,EYL,4.9,0.0,-1.4,54.0,
1F,5,A,EYL,4.9,0.0,-1.4,-54.2,
