App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<íåïîçﬁâûóÕ>
äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,MU[kNm],MD[kNm],Q[kN],N[kN]
1F,5,C,V,-78.0,51.2,37.0,1880.4,
1F,5,D,V,-0.0,-0.0,-0.0,749.5,
1F,5,E,V,78.0,-51.2,-37.0,1880.4,
1F,5,G,V,-0.0,-0.0,0.0,1479.5,
1F,6,A,V,0.0,-0.0,-0.0,1541.4,
1F,6,C,V,-79.3,48.9,36.7,2349.3,
1F,6,D,V,-0.0,-0.0,-0.0,1034.7,
1F,6,E,V,79.3,-48.9,-36.7,2349.3,
1F,6,G,V,-0.0,0.0,0.0,1541.4,
1F,7,A,V,0.2,-0.8,-0.3,661.1,
1F,7,B,V,-0.4,2.2,0.7,623.1,
1F,7,F,V,0.4,-2.2,-0.7,623.1,
1F,7,G,V,-0.2,0.8,0.3,661.1,
1F,8,B,V,25.7,-30.3,-16.0,479.9,
1F,8,C,V,40.1,-20.7,-17.4,1706.0,
1F,8,E,V,-40.1,20.7,17.4,1706.0,
1F,8,F,V,-25.7,30.3,16.0,479.9,
2F,1,B,V,30.6,-27.4,-18.4,390.4,
2F,1,C,V,46.7,-51.1,-31.1,1346.9,
2F,1,E,V,-46.7,51.1,31.1,1346.9,
2F,1,F,V,-30.6,27.4,18.4,390.4,
2F,2,A,V,-0.1,0.2,0.1,530.8,
2F,2,B,V,0.1,-0.5,-0.2,497.5,
2F,2,F,V,-0.1,0.5,0.2,497.5,
2F,2,G,V,0.1,-0.2,-0.1,530.8,
2F,3,A,V,0.0,-0.0,-0.0,1224.6,
2F,3,C,V,-96.2,99.5,62.1,1843.3,
2F,3,D,V,0.0,-0.0,-0.0,837.6,
2F,3,E,V,96.2,-99.5,-62.1,1843.3,
2F,3,G,V,-0.0,0.0,0.0,1224.6,
2F,4,A,V,0.0,-0.0,-0.0,1178.4,
2F,4,C,V,-97.7,99.5,62.6,1475.7,
2F,4,D,V,0.0,-0.0,-0.0,601.5,
2F,4,E,V,97.7,-99.5,-62.6,1475.6,
2F,4,G,V,-0.0,0.0,0.0,1178.4,
2F,5,A,V,0.0,-0.0,-0.0,1178.4,
2F,5,C,V,-97.7,99.5,62.6,1475.7,
2F,5,D,V,0.0,-0.0,-0.0,601.5,
2F,5,E,V,97.7,-99.5,-62.6,1475.6,
2F,5,G,V,-0.0,0.0,0.0,1178.4,
2F,6,A,V,0.0,-0.0,-0.0,1224.6,
2F,6,C,V,-96.2,99.5,62.1,1843.3,
2F,6,D,V,-0.0,-0.0,-0.0,837.6,
2F,6,E,V,96.2,-99.5,-62.1,1843.3,
2F,6,G,V,-0.0,0.0,0.0,1224.6,
2F,7,A,V,-0.1,0.2,0.1,530.8,
2F,7,B,V,0.1,-0.5,-0.2,497.5,
2F,7,F,V,-0.1,0.5,0.2,497.5,
2F,7,G,V,0.1,-0.2,-0.1,530.8,
2F,8,B,V,30.6,-27.4,-18.4,390.4,
2F,8,C,V,46.7,-51.1,-31.1,1346.9,
2F,8,E,V,-46.7,51.1,31.1,1346.9,
2F,8,F,V,-30.6,27.4,18.4,390.4,
3F,1,B,V,35.8,-33.8,-22.1,300.3,
3F,1,C,V,48.7,-45.9,-30.0,1014.9,
3F,1,E,V,-48.7,45.9,30.0,1014.9,
3F,1,F,V,-35.8,33.8,22.1,300.3,
3F,2,A,V,0.0,-0.1,-0.0,404.0,
3F,2,B,V,-0.0,0.1,0.0,378.4,
3F,2,F,V,0.0,-0.1,-0.0,378.4,
3F,2,G,V,-0.0,0.1,0.0,404.0,
3F,3,A,V,0.0,-0.0,-0.0,928.3,
3F,3,C,V,-98.9,96.0,61.9,1398.0,
3F,3,D,V,-0.0,0.0,0.0,639.0,
3F,3,E,V,98.9,-96.0,-61.9,1398.0,
3F,3,G,V,-0.0,0.0,0.0,928.3,
3F,4,A,V,0.0,-0.0,-0.0,892.8,
3F,4,C,V,-102.6,98.8,63.9,1103.6,
3F,4,D,V,-0.0,0.0,0.0,445.7,
3F,4,E,V,102.6,-98.8,-63.9,1103.6,
3F,4,G,V,-0.0,0.0,0.0,892.8,
3F,5,A,V,0.0,-0.0,-0.0,892.8,
3F,5,C,V,-102.6,98.8,63.9,1103.6,
3F,5,D,V,-0.0,0.0,0.0,445.7,
3F,5,E,V,102.6,-98.8,-63.9,1103.6,
3F,5,G,V,-0.0,0.0,0.0,892.8,
3F,6,A,V,0.0,-0.0,-0.0,928.3,
3F,6,C,V,-98.9,96.0,61.9,1398.0,
3F,6,D,V,0.0,-0.0,-0.0,639.0,
3F,6,E,V,98.9,-96.0,-61.9,1398.0,
3F,6,G,V,-0.0,0.0,0.0,928.3,
3F,7,A,V,0.0,-0.1,-0.0,404.0,
3F,7,B,V,-0.0,0.1,0.0,378.4,
3F,7,F,V,0.0,-0.1,-0.0,378.4,
3F,7,G,V,-0.0,0.1,0.0,404.0,
3F,8,B,V,35.8,-33.8,-22.1,300.3,
3F,8,C,V,48.7,-45.9,-30.0,1014.9,
3F,8,E,V,-48.7,45.9,30.0,1014.9,
3F,8,F,V,-35.8,33.8,22.1,300.3,
4F,1,B,V,34.9,-36.3,-22.6,208.2,
4F,1,C,V,50.2,-50.2,-31.9,688.6,
4F,1,E,V,-50.2,50.2,31.9,688.6,
4F,1,F,V,-34.9,36.3,22.6,208.2,
4F,2,A,V,-0.0,0.0,0.0,276.2,
4F,2,B,V,0.0,-0.0,-0.0,259.3,
4F,2,F,V,-0.0,0.0,0.0,259.3,
4F,2,G,V,0.0,-0.0,-0.0,276.2,
4F,3,A,V,0.0,-0.0,-0.0,632.9,
4F,3,C,V,-98.3,99.8,62.9,932.1,
4F,3,D,V,0.0,-0.0,-0.0,383.4,
4F,3,E,V,98.3,-99.8,-62.9,932.1,
4F,3,G,V,-0.0,0.0,0.0,632.9,
4F,4,A,V,0.0,-0.0,-0.0,606.6,
4F,4,C,V,-102.9,104.1,65.7,735.6,
4F,4,D,V,-0.0,-0.0,-0.0,287.6,
4F,4,E,V,102.9,-104.1,-65.7,735.6,
4F,4,G,V,-0.0,0.0,0.0,606.6,
4F,5,A,V,0.0,-0.0,-0.0,606.6,
4F,5,C,V,-102.9,104.1,65.7,735.6,
4F,5,D,V,-0.0,-0.0,-0.0,287.6,
4F,5,E,V,102.9,-104.1,-65.7,735.6,
4F,5,G,V,-0.0,0.0,0.0,606.6,
4F,6,A,V,0.0,-0.0,-0.0,632.9,
4F,6,C,V,-98.3,99.8,62.9,932.1,
4F,6,D,V,-0.0,0.0,0.0,383.4,
4F,6,E,V,98.3,-99.8,-62.9,932.1,
4F,6,G,V,-0.0,0.0,0.0,632.9,
4F,7,A,V,-0.0,0.0,0.0,276.2,
4F,7,B,V,0.0,-0.0,-0.0,259.3,
4F,7,F,V,-0.0,0.0,0.0,259.3,
4F,7,G,V,0.0,-0.0,-0.0,276.2,
4F,8,B,V,34.9,-36.3,-22.6,208.2,
4F,8,C,V,50.2,-50.2,-31.9,688.6,
4F,8,E,V,-50.2,50.2,31.9,688.6,
4F,8,F,V,-34.9,36.3,22.6,208.2,
5F,1,B,V,68.9,-47.5,-36.9,113.6,
5F,1,C,V,72.6,-58.0,-41.5,364.8,
5F,1,E,V,-72.6,58.0,41.5,364.8,
5F,1,F,V,-68.9,47.5,36.9,113.6,
5F,2,A,V,-0.0,-0.0,-0.0,146.7,
5F,2,B,V,0.0,-0.0,-0.0,140.2,
5F,2,F,V,-0.0,0.0,0.0,140.2,
5F,2,G,V,0.0,0.0,0.0,146.7,
5F,3,A,V,0.0,-0.0,-0.0,339.7,
5F,3,C,V,-148.0,115.1,83.5,469.0,
5F,3,D,V,0.0,0.0,0.0,178.1,
5F,3,E,V,148.0,-115.1,-83.5,469.0,
5F,3,G,V,-0.0,0.0,0.0,339.7,
5F,4,A,V,0.0,-0.0,-0.0,320.0,
5F,4,C,V,-151.5,120.4,86.3,372.0,
5F,4,D,V,-0.0,-0.0,-0.0,128.4,
5F,4,E,V,151.5,-120.4,-86.3,372.0,
5F,4,G,V,-0.0,0.0,0.0,320.0,
5F,5,A,V,0.0,-0.0,-0.0,320.0,
5F,5,C,V,-151.5,120.4,86.3,372.0,
5F,5,D,V,-0.0,-0.0,-0.0,128.4,
5F,5,E,V,151.5,-120.4,-86.3,372.0,
5F,5,G,V,-0.0,0.0,0.0,320.0,
5F,6,A,V,0.0,-0.0,-0.0,339.7,
5F,6,C,V,-148.0,115.1,83.5,469.0,
5F,6,D,V,-0.0,-0.0,-0.0,178.1,
5F,6,E,V,148.0,-115.1,-83.5,469.0,
5F,6,G,V,-0.0,0.0,0.0,339.7,
5F,7,A,V,-0.0,-0.0,-0.0,146.7,
5F,7,B,V,0.0,-0.0,-0.0,140.2,
5F,7,F,V,-0.0,0.0,0.0,140.2,
5F,7,G,V,0.0,0.0,0.0,146.7,
5F,8,B,V,68.9,-47.5,-36.9,113.6,
5F,8,C,V,72.6,-58.0,-41.5,364.8,
5F,8,E,V,-72.6,58.0,41.5,364.8,
5F,8,F,V,-68.9,47.5,36.9,113.6,
1F,A,2,EXL,-96.4,186.5,81.0,-266.3,
1F,A,3,EXL,-226.6,523.5,214.6,-27.3,
1F,A,4,EXL,-227.5,526.4,215.7,-6.5,
1F,A,5,EXL,-227.4,526.3,215.7,-8.5,
1F,A,6,EXL,-226.5,523.4,214.6,22.9,
1F,A,7,EXL,-96.4,186.5,80.9,266.2,
1F,B,1,EXL,-8.3,41.1,14.1,-0.1,
1F,B,2,EXL,-9.6,47.9,16.5,0.1,
1F,B,7,EXL,-9.6,47.9,16.5,-0.1,
1F,B,8,EXL,-8.3,41.1,14.1,0.1,
1F,C,1,EXL,2.8,0.0,-0.8,-0.0,
1F,C,3,EXL,-13.9,69.6,23.9,-157.6,
1F,C,4,EXL,-8.3,41.1,14.2,160.2,
1F,C,5,EXL,-8.3,41.1,14.2,190.3,
1F,C,6,EXL,-13.9,69.6,23.9,545.1,
1F,C,8,EXL,2.8,0.0,-0.8,0.0,
1F,D,3,EXL,1.9,0.0,-0.5,-605.2,
1F,D,4,EXL,1.9,0.0,-0.5,1177.4,
1F,D,5,EXL,1.9,0.0,-0.5,1332.6,
1F,D,6,EXL,1.9,0.0,-0.5,1713.2,
1F,E,1,EXL,2.8,0.0,-0.8,-0.0,
1F,E,3,EXL,-13.9,69.6,23.9,-157.6,
1F,E,4,EXL,-8.3,41.1,14.2,160.2,
1F,E,5,EXL,-8.3,41.1,14.2,190.3,
1F,E,6,EXL,-13.9,69.6,23.9,545.1,
1F,E,8,EXL,2.8,0.0,-0.8,0.0,
1F,F,1,EXL,-8.3,41.1,14.1,-0.1,
1F,F,2,EXL,-9.6,47.9,16.5,0.1,
1F,F,7,EXL,-9.6,47.9,16.5,-0.1,
1F,F,8,EXL,-8.3,41.1,14.1,0.1,
1F,G,2,EXL,-96.4,186.5,81.0,-266.3,
1F,G,3,EXL,-226.6,523.5,214.6,-27.3,
1F,G,4,EXL,-227.5,526.4,215.7,-6.5,
1F,G,5,EXL,-227.4,526.3,215.7,-8.5,
1F,G,6,EXL,-226.5,523.4,214.6,22.9,
1F,G,7,EXL,-96.4,186.5,80.9,266.2,
2F,A,2,EXL,-71.0,73.8,46.0,-218.4,
2F,A,3,EXL,-148.7,161.8,98.6,-24.2,
2F,A,4,EXL,-150.4,162.3,99.3,-5.8,
2F,A,5,EXL,-150.3,162.2,99.2,-8.0,
2F,A,6,EXL,-148.5,161.7,98.5,20.2,
2F,A,7,EXL,-70.9,73.8,45.9,218.3,
2F,B,1,EXL,6.8,-8.3,-4.8,-0.0,
2F,B,2,EXL,8.0,-9.6,-5.6,0.0,
2F,B,7,EXL,8.0,-9.6,-5.6,-0.0,
