App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<Së¢ëÂó¿ê›åvâûóÕ>
ó¿ïÑçÜ,äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,ç∂í[M[kNm],åpéËM[kNm],íÜâõM[kNm],åpéËM[kNm],âEí[M[kNm],ç∂í[Q[kN],åpéËQ[kN],íÜâõQ[kN],åpéËQ[kN],âEí[Q[kN]
B49,2F,C,4A,V,-302.7,0.0,-227.0,0.0,0.0,0.0,0.0,60.3,0.0,120.5
B49,2F,C,5,V,0.0,0.0,-227.0,0.0,-302.7,-120.5,0.0,-60.3,0.0,-0.0
B49,2F,C,5A,V,-302.7,0.0,-227.0,0.0,0.0,-0.0,0.0,60.3,0.0,120.5
B58,2F,C,6,V,0.1,0.0,-678.3,0.0,-742.3,-220.5,0.0,-97.7,0.0,25.2
B58,2F,C,7,V,-742.3,0.0,-475.1,0.0,0.1,104.7,0.0,148.5,0.0,192.2
B58,3F,C,1,V,0.1,0.0,-445.8,0.0,-696.5,-180.5,0.0,-139.3,0.0,-98.2
B58,3F,C,2,V,-696.5,0.0,-636.6,0.0,0.1,-23.8,0.0,91.7,0.0,207.1
B49,3F,C,3,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,3F,C,3A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,3F,C,4,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,3F,C,4A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,3F,C,5,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,-0.0
B49,3F,C,5A,V,-283.9,0.0,-212.9,0.0,0.0,-0.0,0.0,56.6,0.0,113.1
B58,3F,C,6,V,0.1,0.0,-636.6,0.0,-696.5,-207.1,0.0,-91.7,0.0,23.8
B58,3F,C,7,V,-696.5,0.0,-445.8,0.0,0.1,98.2,0.0,139.3,0.0,180.5
B58,4F,C,1,V,0.1,0.0,-445.8,0.0,-696.5,-180.5,0.0,-139.3,0.0,-98.2
B58,4F,C,2,V,-696.5,0.0,-636.6,0.0,0.1,-23.8,0.0,91.7,0.0,207.1
B49,4F,C,3,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,4F,C,3A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,4F,C,4,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,4F,C,4A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,4F,C,5,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,-0.0
B49,4F,C,5A,V,-283.9,0.0,-212.9,0.0,0.0,-0.0,0.0,56.6,0.0,113.1
B58,4F,C,6,V,0.1,0.0,-636.6,0.0,-696.5,-207.1,0.0,-91.7,0.0,23.8
B58,4F,C,7,V,-696.5,0.0,-445.8,0.0,0.1,98.2,0.0,139.3,0.0,180.5
B58,5F,C,1,V,0.1,0.0,-445.8,0.0,-696.5,-180.5,0.0,-139.3,0.0,-98.2
B58,5F,C,2,V,-696.5,0.0,-636.6,0.0,0.1,-23.8,0.0,91.7,0.0,207.1
B49,5F,C,3,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,5F,C,3A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,5F,C,4,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,5F,C,4A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,5F,C,5,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,-0.0
B49,5F,C,5A,V,-283.9,0.0,-212.9,0.0,0.0,-0.0,0.0,56.6,0.0,113.1
B58,5F,C,6,V,0.1,0.0,-636.6,0.0,-696.5,-207.1,0.0,-91.7,0.0,23.8
B58,5F,C,7,V,-696.5,0.0,-445.8,0.0,0.1,98.2,0.0,139.3,0.0,180.5
B58,RF,C,1,V,0.1,0.0,-445.8,0.0,-696.5,-180.5,0.0,-139.3,0.0,-98.2
B58,RF,C,2,V,-696.5,0.0,-636.6,0.0,0.1,-23.8,0.0,91.7,0.0,207.1
B49,RF,C,3,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,RF,C,3A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,RF,C,4,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,0.0
B49,RF,C,4A,V,-283.9,0.0,-212.9,0.0,0.0,0.0,0.0,56.6,0.0,113.1
B49,RF,C,5,V,0.0,0.0,-212.9,0.0,-283.9,-113.1,0.0,-56.6,0.0,-0.0
B49,RF,C,5A,V,-283.9,0.0,-212.9,0.0,0.0,-0.0,0.0,56.6,0.0,113.1
B58,RF,C,6,V,0.1,0.0,-636.6,0.0,-696.5,-207.1,0.0,-91.7,0.0,23.8
B58,RF,C,7,V,-696.5,0.0,-445.8,0.0,0.1,98.2,0.0,139.3,0.0,180.5
B58,2F,D,1,V,0.0,0.0,-278.9,0.0,-419.7,-113.7,0.0,-83.9,0.0,-54.2
B58,2F,D,2,V,-419.7,0.0,-352.8,0.0,0.0,-2.8,0.0,55.2,0.0,113.3
B49,2F,D,3,V,0.0,0.0,-118.6,0.0,-168.0,-63.5,0.0,-35.6,0.0,-7.8
B49,2F,D,3A,V,-168.0,0.0,-118.6,0.0,0.0,7.8,0.0,35.6,0.0,63.5
B49,2F,D,4,V,0.0,0.0,-118.6,0.0,-168.0,-63.5,0.0,-35.6,0.0,-7.8
B49,2F,D,4A,V,-168.0,0.0,-118.6,0.0,0.0,7.8,0.0,35.6,0.0,63.5
B49,2F,D,5,V,0.0,0.0,-118.6,0.0,-168.0,-63.5,0.0,-35.6,0.0,-7.8
B49,2F,D,5A,V,-168.0,0.0,-118.6,0.0,0.0,7.8,0.0,35.6,0.0,63.5
B58,2F,D,6,V,0.0,0.0,-352.8,0.0,-419.7,-113.3,0.0,-55.2,0.0,2.8
B58,2F,D,7,V,-419.7,0.0,-278.9,0.0,0.0,54.2,0.0,83.9,0.0,113.7
B58,3F,D,1,V,0.0,0.0,-261.8,0.0,-394.1,-106.8,0.0,-78.8,0.0,-50.8
B58,3F,D,2,V,-394.1,0.0,-331.4,0.0,0.0,-2.8,0.0,51.9,0.0,106.5
B49,3F,D,3,V,0.0,0.0,-97.4,0.0,-129.8,-52.3,0.0,-26.1,0.0,0.0
B49,3F,D,3A,V,-129.8,0.0,-97.4,0.0,0.0,0.0,0.0,26.1,0.0,52.3
B49,3F,D,4,V,0.0,0.0,-97.4,0.0,-129.8,-52.3,0.0,-26.1,0.0,-0.0
B49,3F,D,4A,V,-129.8,0.0,-97.4,0.0,0.0,0.0,0.0,26.1,0.0,52.3
B49,3F,D,5,V,0.0,0.0,-97.4,0.0,-129.8,-52.3,0.0,-26.1,0.0,-0.0
B49,3F,D,5A,V,-129.8,0.0,-97.4,0.0,0.0,-0.0,0.0,26.1,0.0,52.3
B58,3F,D,6,V,0.0,0.0,-331.4,0.0,-394.1,-106.5,0.0,-51.9,0.0,2.8
B58,3F,D,7,V,-394.1,0.0,-261.8,0.0,0.0,50.8,0.0,78.8,0.0,106.8
B58,4F,D,1,V,0.0,0.0,-261.8,0.0,-394.1,-106.8,0.0,-78.8,0.0,-50.8
B58,4F,D,2,V,-394.1,0.0,-331.4,0.0,0.0,-2.8,0.0,51.9,0.0,106.5
B49,4F,D,3,V,0.0,0.0,-106.9,0.0,-148.8,-57.3,0.0,-31.1,0.0,-5.0
B49,4F,D,3A,V,-148.8,0.0,-106.9,0.0,0.0,5.0,0.0,31.1,0.0,57.3
B49,4F,D,4,V,0.0,0.0,-106.9,0.0,-148.8,-57.3,0.0,-31.1,0.0,-5.0
B49,4F,D,4A,V,-148.8,0.0,-106.9,0.0,0.0,5.0,0.0,31.1,0.0,57.3
