App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<Së¢ëÂó¿ê›åvâûóÕ>
ó¿ïÑçÜ,äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,ç∂í[M[kNm],åpéËM[kNm],íÜâõM[kNm],åpéËM[kNm],âEí[M[kNm],ç∂í[Q[kN],åpéËQ[kN],íÜâõQ[kN],åpéËQ[kN],âEí[Q[kN]
G005,2F,6,B,V,-175.0,0.0,-70.6,0.0,251.7,-1.2,0.0,55.3,0.0,111.7
G004,2F,6,C,V,72.9,46.8,10.6,-2.2,0.0,-46.7,-37.7,-19.4,-1.0,7.9
G005,2F,6,D,V,0.0,0.0,10.6,0.0,72.9,-7.9,0.0,19.4,0.0,46.7
G004,2F,6,E,V,251.7,185.6,-70.6,-172.9,-175.0,-111.7,-102.7,-55.3,-7.8,1.2
G005,2F,6,F,V,-175.0,0.0,-129.8,0.0,0.0,1.2,0.0,36.5,0.0,71.7
G004,3F,6,A,V,0.0,-38.8,-121.8,-160.8,-164.1,-67.3,-58.8,-34.2,-9.6,-1.1
G005,3F,6,B,V,-164.1,0.0,-66.2,0.0,236.1,-1.1,0.0,51.8,0.0,104.8
G004,3F,6,C,V,44.0,23.5,-2.2,-6.1,0.0,-37.3,-28.9,-11.7,5.5,13.9
G005,3F,6,D,V,0.0,0.0,-2.2,0.0,44.0,-13.9,0.0,11.7,0.0,37.3
G004,3F,6,E,V,236.1,174.1,-66.2,-162.2,-164.1,-104.8,-96.3,-51.8,-7.4,1.1
G005,3F,6,F,V,-164.1,0.0,-121.8,0.0,0.0,1.1,0.0,34.2,0.0,67.3
G004,4F,6,A,V,0.0,-38.9,-122.4,-162.0,-165.4,-67.6,-59.1,-34.5,-9.9,-1.4
G005,4F,6,B,V,-165.4,0.0,-68.5,0.0,232.7,-1.4,0.0,51.6,0.0,104.5
G004,4F,6,C,V,34.0,15.2,-7.2,-7.7,0.0,-34.6,-26.2,-9.0,8.2,16.6
G005,4F,6,D,V,0.0,0.0,-7.2,0.0,34.0,-16.6,0.0,9.0,0.0,34.6
G004,4F,6,E,V,232.7,170.9,-68.5,-163.6,-165.4,-104.5,-96.0,-51.6,-7.1,1.4
G005,4F,6,F,V,-165.4,0.0,-122.4,0.0,0.0,1.4,0.0,34.5,0.0,67.6
G004,5F,6,A,V,0.0,-38.9,-122.4,-162.0,-165.4,-67.6,-59.1,-34.5,-9.9,-1.4
G005,5F,6,B,V,-165.4,0.0,-68.6,0.0,232.7,-1.4,0.0,51.6,0.0,104.5
G004,5F,6,C,V,19.3,2.9,-14.6,-10.1,0.0,-30.7,-22.3,-5.1,12.1,20.5
G005,5F,6,D,V,0.0,0.0,-14.6,0.0,19.3,-20.5,0.0,5.1,0.0,30.7
G004,5F,6,E,V,232.7,170.8,-68.6,-163.7,-165.4,-104.5,-96.0,-51.6,-7.1,1.4
G005,5F,6,F,V,-165.4,0.0,-122.4,0.0,0.0,1.4,0.0,34.5,0.0,67.6
G004,RF,6,A,V,0.0,-39.9,-126.4,-168.8,-173.3,-69.2,-60.7,-36.1,-11.5,-3.0
G005,RF,6,B,V,-173.3,0.0,-82.7,0.0,212.2,-3.0,0.0,49.9,0.0,102.8
G004,RF,6,C,V,64.2,40.4,7.9,-2.8,0.0,-42.7,-34.3,-17.1,0.2,8.6
G005,RF,6,D,V,0.0,0.0,7.9,0.0,64.2,-8.6,0.0,17.1,0.0,42.7
G004,RF,6,E,V,212.2,151.3,-82.7,-172.6,-173.3,-102.8,-94.4,-49.9,-5.4,3.0
G005,RF,6,F,V,-173.3,0.0,-126.4,0.0,0.0,3.0,0.0,36.1,0.0,69.2
B34,2F,7,A,V,0.0,0.0,-33.8,0.0,0.0,-28.2,0.0,-0.0,0.0,28.1
B34,2F,7,B,V,0.0,0.0,-103.8,0.0,-0.0,-53.8,0.0,0.0,0.0,53.9
B20,2F,7,C,V,-0.0,0.0,-24.1,0.0,0.0,-25.7,0.0,0.0,0.0,25.7
B20,2F,7,D,V,0.0,0.0,-24.1,0.0,-0.0,-25.7,0.0,-0.0,0.0,25.7
B34,2F,7,E,V,-0.0,0.0,-103.8,0.0,0.0,-53.9,0.0,-0.0,0.0,53.8
B34,2F,7,F,V,0.0,0.0,-33.8,0.0,0.0,-28.1,0.0,0.0,0.0,28.2
B34,3F,7,A,V,-0.0,0.0,-32.4,0.0,0.0,-27.0,0.0,-0.0,0.0,26.9
B34,3F,7,B,V,0.0,0.0,-97.0,0.0,-0.0,-50.3,0.0,0.0,0.0,50.4
B20,3F,7,C,V,-0.0,0.0,-22.5,0.0,0.0,-24.0,0.0,0.0,0.0,24.0
B20,3F,7,D,V,0.0,0.0,-22.5,0.0,-0.0,-24.0,0.0,-0.0,0.0,24.0
B34,3F,7,E,V,-0.0,0.0,-97.0,0.0,0.0,-50.4,0.0,-0.0,0.0,50.3
B34,3F,7,F,V,0.0,0.0,-32.4,0.0,-0.0,-26.9,0.0,0.0,0.0,27.0
B34,4F,7,A,V,-0.0,0.0,-32.4,0.0,0.0,-27.0,0.0,-0.0,0.0,26.9
B34,4F,7,B,V,0.0,0.0,-97.0,0.0,-0.0,-50.3,0.0,0.0,0.0,50.4
B20,4F,7,C,V,-0.0,0.0,-22.5,0.0,0.0,-24.0,0.0,0.0,0.0,24.0
B20,4F,7,D,V,0.0,0.0,-22.5,0.0,-0.0,-24.0,0.0,-0.0,0.0,24.0
B34,4F,7,E,V,-0.0,0.0,-97.0,0.0,0.0,-50.4,0.0,-0.0,0.0,50.3
B34,4F,7,F,V,0.0,0.0,-32.4,0.0,-0.0,-26.9,0.0,0.0,0.0,27.0
B34,5F,7,A,V,-0.0,0.0,-32.4,0.0,0.0,-27.0,0.0,-0.0,0.0,26.9
B34,5F,7,B,V,0.0,0.0,-97.0,0.0,-0.0,-50.3,0.0,0.0,0.0,50.4
B20,5F,7,C,V,-0.0,0.0,-22.5,0.0,0.0,-24.0,0.0,0.0,0.0,24.0
B20,5F,7,D,V,0.0,0.0,-22.5,0.0,-0.0,-24.0,0.0,-0.0,0.0,24.0
B34,5F,7,E,V,-0.0,0.0,-97.0,0.0,0.0,-50.4,0.0,-0.0,0.0,50.3
B34,5F,7,F,V,0.0,0.0,-32.4,0.0,-0.0,-26.9,0.0,0.0,0.0,27.0
B34,RF,7,A,V,-0.0,0.0,-46.1,0.0,0.0,-38.4,0.0,-0.0,0.0,38.3
B34,RF,7,B,V,0.0,0.0,-97.0,0.0,-0.0,-50.3,0.0,0.0,0.0,50.4
B20,RF,7,C,V,-0.0,0.0,-22.5,0.0,0.0,-24.0,0.0,0.0,0.0,24.0
B20,RF,7,D,V,0.0,0.0,-22.5,0.0,-0.0,-24.0,0.0,-0.0,0.0,24.0
B34,RF,7,E,V,-0.0,0.0,-97.0,0.0,0.0,-50.4,0.0,-0.0,0.0,50.3
B34,RF,7,F,V,0.0,0.0,-46.1,0.0,-0.0,-38.3,0.0,0.0,0.0,38.4
G59Y,2F,8,B,V,53.1,27.9,-28.0,45.2,73.7,-44.5,-37.0,2.7,42.3,49.9
G004,2F,8,C,V,164.9,99.1,-21.1,-121.8,-163.8,-110.5,-103.0,-87.5,-72.1,-64.5
G005,2F,8,D,V,-163.8,0.0,-21.1,0.0,164.9,64.5,0.0,87.5,0.0,110.5
G59Y,2F,8,E,V,73.7,45.2,-28.0,27.9,53.1,-49.9,-42.3,-2.7,37.0,44.5
G59Y,3F,8,B,V,64.4,37.6,-29.5,27.2,52.0,-46.9,-39.7,-1.6,36.5,43.7
G004,3F,8,C,V,144.7,86.8,-17.9,-103.8,-138.9,-97.5,-90.3,-75.5,-60.7,-53.4
G005,3F,8,D,V,-138.9,0.0,-17.9,0.0,144.7,53.4,0.0,75.5,0.0,97.5
G59Y,3F,8,E,V,52.0,27.2,-29.5,37.6,64.4,-43.7,-36.5,1.6,39.7,46.9
G59Y,4F,8,B,V,72.1,44.1,-29.6,20.7,44.3,-48.9,-41.7,-3.6,34.5,41.7
G004,4F,8,C,V,143.3,85.3,-19.3,-105.2,-140.3,-97.5,-90.3,-75.5,-60.7,-53.4
G005,4F,8,D,V,-140.3,0.0,-19.3,0.0,143.3,53.4,0.0,75.5,0.0,97.5
G59Y,4F,8,E,V,44.3,20.7,-29.6,44.1,72.1,-41.7,-34.5,3.6,41.7,48.9
G59Y,5F,8,B,V,82.4,52.8,-29.0,13.1,35.1,-51.5,-44.2,-6.2,31.9,39.2
G004,5F,8,C,V,143.3,85.4,-19.3,-105.2,-140.3,-97.5,-90.3,-75.5,-60.7,-53.4
G005,5F,8,D,V,-140.3,0.0,-19.3,0.0,143.3,53.4,0.0,75.5,0.0,97.5
G59Y,5F,8,E,V,35.1,13.1,-29.0,52.8,82.4,-39.2,-31.9,6.2,44.2,51.5
G59Y,RF,8,B,V,68.9,34.1,-45.8,48.0,85.5,-61.5,-51.3,2.1,55.6,65.7
G004,RF,8,C,V,158.1,90.1,-29.6,-122.9,-158.9,-115.4,-105.2,-84.4,-63.6,-53.4
G005,RF,8,D,V,-158.9,0.0,-29.6,0.0,158.1,53.4,0.0,84.4,0.0,115.4
G59Y,RF,8,E,V,85.5,48.0,-45.8,34.1,68.9,-65.7,-55.6,-2.1,51.3,61.5
G59X,2F,A,2,EXL,-163.1,-140.8,11.8,164.4,181.9,47.9,47.9,47.9,47.9,47.9
G59X,2F,A,3,EXL,-181.7,-163.1,-97.3,-31.5,0.0,51.2,51.2,51.2,51.2,51.2
G59X,2F,A,3A,EXL,0.0,31.5,97.3,163.1,181.8,51.2,51.2,51.2,51.2,51.2
G59X,2F,A,4,EXL,-182.3,-163.6,-97.6,-31.6,0.0,51.4,51.4,51.4,51.4,51.4
G59X,2F,A,4A,EXL,0.0,31.6,97.6,163.6,182.4,51.4,51.4,51.4,51.4,51.4
G59X,2F,A,5,EXL,-181.7,-163.0,-97.2,-31.5,-0.0,51.2,51.2,51.2,51.2,51.2
G59X,2F,A,5A,EXL,-0.0,31.4,97.2,162.9,181.6,51.2,51.2,51.2,51.2,51.2
G59X,2F,A,6,EXL,-181.9,-164.4,-11.8,140.7,163.0,47.9,47.9,47.9,47.9,47.9
G59X,3F,A,2,EXL,-168.5,-145.5,12.1,169.8,187.8,49.5,49.5,49.5,49.5,49.5
G59X,3F,A,3,EXL,-192.1,-172.3,-102.9,-33.5,-0.3,54.0,54.0,54.0,54.0,54.0
G59X,3F,A,3A,EXL,-0.3,32.9,102.3,171.7,191.4,54.0,54.0,54.0,54.0,54.0
G59X,3F,A,4,EXL,-191.7,-172.0,-102.6,-33.2,0.0,54.0,54.0,54.0,54.0,54.0
G59X,3F,A,4A,EXL,0.0,33.2,102.6,172.0,191.8,54.0,54.0,54.0,54.0,54.0
G59X,3F,A,5,EXL,-191.1,-171.4,-102.1,-32.8,0.3,53.9,53.9,53.9,53.9,53.9
G59X,3F,A,5A,EXL,0.3,33.5,102.8,172.1,191.8,53.9,53.9,53.9,53.9,53.9
G59X,3F,A,6,EXL,-187.8,-169.7,-12.1,145.4,168.4,49.5,49.5,49.5,49.5,49.5
G59X,4F,A,2,EXL,-167.0,-144.3,11.3,166.8,184.6,48.8,48.8,48.8,48.8,48.8
G59X,4F,A,3,EXL,-191.3,-171.7,-102.6,-33.5,-0.5,53.7,53.7,53.7,53.7,53.7
G59X,4F,A,3A,EXL,-0.5,32.6,101.6,170.7,190.3,53.7,53.7,53.7,53.7,53.7
G59X,4F,A,4,EXL,-190.7,-171.1,-102.1,-33.0,0.0,53.7,53.7,53.7,53.7,53.7
G59X,4F,A,4A,EXL,0.0,33.1,102.1,171.2,190.8,53.7,53.7,53.7,53.7,53.7
G59X,4F,A,5,EXL,-189.9,-170.4,-101.4,-32.5,0.5,53.6,53.6,53.6,53.6,53.6
G59X,4F,A,5A,EXL,0.5,33.5,102.4,171.3,190.9,53.6,53.6,53.6,53.6,53.6
G59X,4F,A,6,EXL,-184.5,-166.7,-11.3,144.2,166.9,48.8,48.8,48.8,48.8,48.8
G59X,5F,A,2,EXL,-226.7,-195.8,15.8,227.5,251.7,66.5,66.5,66.5,66.5,66.5
G59X,5F,A,3,EXL,-259.2,-232.6,-138.9,-45.2,-0.4,72.9,72.9,72.9,72.9,72.9
G59X,5F,A,3A,EXL,-0.4,44.5,138.1,231.8,258.4,72.9,72.9,72.9,72.9,72.9
G59X,5F,A,4,EXL,-259.3,-232.6,-138.7,-44.9,0.0,73.0,73.0,73.0,73.0,73.0
G59X,5F,A,4A,EXL,0.0,44.9,138.8,232.7,259.3,73.0,73.0,73.0,73.0,73.0
G59X,5F,A,5,EXL,-257.9,-231.4,-137.9,-44.4,0.4,72.8,72.8,72.8,72.8,72.8
G59X,5F,A,5A,EXL,0.4,45.1,138.6,232.1,258.7,72.8,72.8,72.8,72.8,72.8
G59X,5F,A,6,EXL,-251.6,-227.4,-15.8,195.7,226.6,66.4,66.4,66.4,66.4,66.4
G59X,RF,A,2,EXL,-176.0,-151.1,19.8,190.7,210.3,53.7,53.7,53.7,53.7,53.7
G59X,RF,A,3,EXL,-226.8,-203.7,-122.2,-40.8,-1.8,63.4,63.4,63.4,63.4,63.4
G59X,RF,A,3A,EXL,-1.8,37.2,118.6,200.1,223.2,63.4,63.4,63.4,63.4,63.4
G59X,RF,A,4,EXL,-222.0,-199.2,-118.8,-38.4,0.1,62.5,62.5,62.5,62.5,62.5
G59X,RF,A,4A,EXL,0.1,38.5,118.9,199.3,222.1,62.5,62.5,62.5,62.5,62.5
G59X,RF,A,5,EXL,-222.8,-199.7,-118.4,-37.1,1.8,63.3,63.3,63.3,63.3,63.3
G59X,RF,A,5A,EXL,1.8,40.7,122.0,203.3,226.4,63.3,63.3,63.3,63.3,63.3
G59X,RF,A,6,EXL,-210.3,-190.7,-19.8,151.0,176.0,53.6,53.6,53.6,53.6,53.6
B34,2F,B,1,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B34,2F,B,7,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B34,3F,B,1,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B34,3F,B,7,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B34,4F,B,1,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B34,4F,B,7,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B34,5F,B,1,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B34,5F,B,7,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B34,RF,B,1,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B34,RF,B,7,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,2F,C,1,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,2F,C,2,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,2F,C,3,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,2F,C,3A,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,2F,C,4,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B49,2F,C,4A,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,2F,C,5,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B49,2F,C,5A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,2F,C,6,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B58,2F,C,7,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,3F,C,1,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B58,3F,C,2,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,3F,C,3,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B49,3F,C,3A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,3F,C,4,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,3F,C,4A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,3F,C,5,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,3F,C,5A,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,3F,C,6,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,3F,C,7,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,4F,C,1,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B58,4F,C,2,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,4F,C,3,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,4F,C,3A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,4F,C,4,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B49,4F,C,4A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,4F,C,5,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B49,4F,C,5A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,4F,C,6,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B58,4F,C,7,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,5F,C,1,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B58,5F,C,2,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,5F,C,3,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B49,5F,C,3A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,5F,C,4,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,5F,C,4A,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,5F,C,5,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,5F,C,5A,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,5F,C,6,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,5F,C,7,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,RF,C,1,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B58,RF,C,2,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,RF,C,3,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,RF,C,3A,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,RF,C,4,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,RF,C,4A,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,RF,C,5,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,RF,C,5A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,RF,C,6,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,RF,C,7,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,2F,D,1,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,2F,D,2,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,2F,D,3,EXL,-0.0,0.0,-7.3,0.0,-14.6,-3.8,0.0,-3.8,0.0,-3.8
B49,2F,D,3A,EXL,-14.6,0.0,-7.3,0.0,0.0,3.8,0.0,3.8,0.0,3.8
B49,2F,D,4,EXL,-0.0,0.0,11.2,0.0,22.4,5.9,0.0,5.9,0.0,5.9
B49,2F,D,4A,EXL,22.4,0.0,11.2,0.0,0.0,-5.9,0.0,-5.9,0.0,-5.9
B49,2F,D,5,EXL,-0.0,0.0,9.4,0.0,18.8,4.9,0.0,4.9,0.0,4.9
B49,2F,D,5A,EXL,18.8,0.0,9.4,0.0,0.0,-4.9,0.0,-4.9,0.0,-4.9
B58,2F,D,6,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B58,2F,D,7,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,3F,D,1,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,3F,D,2,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,3F,D,3,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B49,3F,D,3A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,3F,D,4,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,3F,D,4A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,3F,D,5,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B49,3F,D,5A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,3F,D,6,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B58,3F,D,7,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,4F,D,1,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,4F,D,2,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,4F,D,3,EXL,-0.0,0.0,-58.7,0.0,-117.3,-30.9,0.0,-30.9,0.0,-30.9
B49,4F,D,3A,EXL,-117.3,0.0,-58.7,0.0,0.0,30.9,0.0,30.9,0.0,30.9
B49,4F,D,4,EXL,-0.0,0.0,-71.7,0.0,-143.4,-37.7,0.0,-37.7,0.0,-37.7
B49,4F,D,4A,EXL,-143.4,0.0,-71.7,0.0,0.0,37.7,0.0,37.7,0.0,37.7
B49,4F,D,5,EXL,-0.0,0.0,-70.7,0.0,-141.4,-37.2,0.0,-37.2,0.0,-37.2
B49,4F,D,5A,EXL,-141.4,0.0,-70.7,0.0,0.0,37.2,0.0,37.2,0.0,37.2
B58,4F,D,6,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B58,4F,D,7,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,5F,D,1,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,5F,D,2,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,5F,D,3,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B49,5F,D,3A,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,5F,D,4,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,5F,D,4A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,5F,D,5,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B49,5F,D,5A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,5F,D,6,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B58,5F,D,7,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,RF,D,1,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,RF,D,2,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,RF,D,3,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,RF,D,3A,EXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,RF,D,4,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,RF,D,4A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B49,RF,D,5,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B49,RF,D,5A,EXL,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,RF,D,6,EXL,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
B58,RF,D,7,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58,2F,E,1,EXL,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
